"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"arthritis","40-44","Both",0.145254111417934,0.120554636683251,0.169953586152616
"arthritis","45-49","Both",0.212101689284044,0.177301760221327,0.246901618346761
"arthritis","50-54","Both",0.33796145366043,0.303448623638254,0.372474283682605
"arthritis","55-59","Both",0.389682807676858,0.35509556293056,0.424270052423156
"arthritis","60-64","Both",0.460130298063872,0.43203639685711,0.488224199270633
"arthritis","65-69","Both",0.537240836688027,0.502295148117579,0.572186525258475
"arthritis","70-74","Both",0.570134147392972,0.535263259128043,0.6050050356579
"arthritis","75-79","Both",0.580329981273676,0.546483521537697,0.614176441009655
"arthritis","80+","Both",0.597606308911324,0.564537365253221,0.630675252569426
"chf","18-24","Female",0,0,0
"chf","25-29","Female",0,0,0
"chf","30-34","Female",0.00480940213608773,-0.00187815635265786,0.0114969606248333
"chf","35-39","Female",0.00272710250111134,-0.000463778232905567,0.00591798323512824
"chf","40-44","Female",0.00402581484811173,0.000189712414750225,0.00786191728147323
"chf","45-49","Female",0.00978560697747539,0.00307816430504068,0.0164930496499101
"chf","50-54","Female",0.0175701940787011,0.00772101162543374,0.0274193765319685
"chf","55-59","Female",0.0194925489822397,0.0105074658551061,0.0284776321093734
"chf","60-64","Female",0.0251812546888604,0.0123245936799077,0.0380379156978132
"chf","65-69","Female",0.0398652385338069,0.0207481073659327,0.058982369701681
"chf","70-74","Female",0.0503691426520795,0.0302097453613241,0.0705285399428349
"chf","75-79","Female",0.0664314063570419,0.0415994118769322,0.0912634008371517
"chf","80+","Female",0.114266792844531,0.089962126624577,0.138571459064486
"chf","18-24","Male",0,0,0
"chf","25-29","Male",0,0,0
"chf","30-34","Male",0.00595626687405894,-0.00178255254274127,0.0136950862908591
"chf","35-39","Male",0.00395041025521412,-0.000960976981421841,0.00886179749185008
"chf","40-44","Male",0.0124301745980553,0.00340569802780417,0.0214546511683065
"chf","45-49","Male",0.00674711894116764,0.00207303330035546,0.0114212045819798
"chf","50-54","Male",0.0207891969846056,0.0076379240353035,0.0339404699339077
"chf","55-59","Male",0.0298736123612083,0.0155984129140092,0.0441488118084073
"chf","60-64","Male",0.0668480252171361,0.0428965426840138,0.0907995077502585
"chf","65-69","Male",0.0496363560477288,0.0349822985611114,0.0642904135343463
"chf","70-74","Male",0.109124451788554,0.0846564514382756,0.133592452138832
"chf","75-79","Male",0.120549927291247,0.0776462520803657,0.163453602502129
"chf","80+","Male",0.110714741873868,0.0792372732443324,0.142192210503404
"chf","18-24","Both",0,0,0
"chf","25-29","Both",0,0,0
"chf","30-34","Both",0.00539125235667692,0.00220113417366566,0.00858137053968818
"chf","35-39","Both",0.00331141633826496,0.00030300216623648,0.00631983051029344
"chf","40-44","Both",0.00813924547634455,0.00348079063171869,0.0127977003209704
"chf","45-49","Both",0.00829091198768367,0.00392978162993763,0.0126520423454297
"chf","50-54","Both",0.0190670158302538,0.0102839051273872,0.0278501265331205
"chf","55-59","Both",0.0247473006324039,0.0150612806881739,0.0344333205766339
"chf","60-64","Both",0.0453049137236539,0.0307245393414728,0.059885288105835
"chf","65-69","Both",0.0444077190593681,0.0325432800454754,0.0562721580732608
"chf","70-74","Both",0.0778588786193351,0.0622586625500579,0.0934590946886123
"chf","75-79","Both",0.0894591458158467,0.0648499055806272,0.114068386051066
"chf","80+","Both",0.112844534414025,0.093699341528525,0.131989727299526
"chd","18-24","Female",0,0,0
"chd","25-29","Female",0,0,0
"chd","30-34","Female",0,0,0
"chd","35-39","Female",0.00419081894207542,-2.20314963457306e-05,0.00840366938049657
