sex,cause,age,val,upper,lower
Both,Cardiovascular diseases,78,1098.496868080721,1167.4063776527578,992.8267125976987
Both,Cardiovascular diseases,79,1240.869049939656,1326.242434661439,1106.811909607602
Both,Cardiovascular diseases,80,1407.8197297967572,1513.52080379008,1237.4876740650668
Both,Cardiovascular diseases,81,1598.618983508039,1727.946970882315,1384.4676916764881
Both,Cardiovascular diseases,82,1812.5368869295153,1968.2264217817783,1547.365648148262
Both,Cardiovascular diseases,83,2063.0199733345385,2249.4993809570187,1731.0428276344157
Both,Cardiovascular diseases,84,2363.548541625418,2587.5995271594697,1943.0367962867444
Both,Cardiovascular diseases,85,2713.4433161015986,2982.2725276570904,2186.975662808294
Both,Cardiovascular diseases,86,3112.0250210625286,3433.26404971784,2466.487535902109
Both,Cardiovascular diseases,87,3558.6143808076563,3940.319760609679,2785.2005242712357
Both,Cardiovascular diseases,88,4095.997170557423,4553.378665913468,3185.5304118805416
Both,Cardiovascular diseases,89,4750.369213614313,5303.75498745693,3686.794437309704
Both,Cardiovascular diseases,90,5496.166306400827,6163.257216878333,4257.972891183983
Both,Cardiovascular diseases,91,6307.824245339471,7103.693845815932,4868.046064128639
Both,Cardiovascular diseases,92,7159.778826852748,8096.87336590799,5485.9942467689325
Both,Cardiovascular diseases,93,8071.977451626648,9170.247733753256,6117.905309318988
Both,Cardiovascular diseases,94,9075.711065393303,10362.219828687239,6788.807536753008
Both,Cardiovascular diseases,95,10162.430782144433,11661.024526453331,7496.091841836369
Both,Cardiovascular diseases,96,11323.587715871752,13054.896702794922,8237.149137334443
Both,Cardiovascular diseases,97,12550.632980566983,14532.071233455405,9009.370336012606
Both,Cardiovascular diseases,98,12550.632980566985,14532.071233455405,9009.370336012606
Both,Cardiovascular diseases,99,12550.632980566985,14532.071233455405,9009.370336012606
Both,Cardiovascular diseases,100,12550.632980566985,14532.071233455405,9009.370336012606
Both,Chronic respiratory diseases,0,0.9586494984618804,1.1823081351001183,0.7685814702354408
Both,Chronic respiratory diseases,1,0.7840294129704609,0.9630715528589955,0.6315854363118778
Both,Chronic respiratory diseases,2,0.474611882024894,0.5744335290979946,0.38907519459922113
Both,Chronic respiratory diseases,3,0.3392239680786845,0.4043306450627822,0.283038926036235
Both,Chronic respiratory diseases,4,0.3402797027987287,0.40544616533006456,0.2842021224409433
Both,Chronic respiratory diseases,5,0.34317287989619616,0.4085115877668049,0.2873501371600454
Both,Chronic respiratory diseases,6,0.3474924587770891,0.41310520482534335,0.29197060845100725
Both,Chronic respiratory diseases,7,0.3528273988474097,0.4188053089580198,0.2975511745712946
Both,Chronic respiratory diseases,8,0.36472181552740307,0.4321370785366838,0.30818986463359105
Both,Chronic respiratory diseases,9,0.3858875901328638,0.4562085311760533,0.325983847541497
Both,Chronic respiratory diseases,10,0.4116653309131188,0.48547221819277137,0.3474194712388537
Both,Chronic respiratory diseases,11,0.4373956461174948,0.5143806909034807,0.3689830836695022
Both,Chronic respiratory diseases,12,0.4584191439953186,0.5373865006248244,0.3871610327772838
Both,Chronic respiratory diseases,13,0.4735484447952848,0.5532564969749166,0.400890291541555
Both,Chronic respiratory diseases,14,0.48614476655088423,0.566104621756775,0.4126458231200921
Both,Chronic respiratory diseases,15,0.49837161418863857,0.5784040645643969,0.4242209607243659
Both,Chronic respiratory diseases,16,0.5123924926350691,0.5926280149917796,0.437409037565847
Both,Chronic respiratory diseases,17,0.5303709068166974,0.6112496626329209,0.4540033868560061
Both,Chronic respiratory diseases,18,0.5556841474981999,0.6381247211189841,0.47679254969000134
Both,Chronic respiratory diseases,19,0.5888418496738409,0.6739955740334966,0.5061390775777682
Both,Chronic respiratory diseases,20,0.6277060346145223,0.7166654158990018,0.5401973193529435
Both,Chronic respiratory diseases,21,0.6701387235911469,0.7639374412380434,0.5771216238491641
Both,Chronic respiratory diseases,22,0.7140019378746169,0.8136148445731647,0.6150663399000668
Both,Chronic respiratory diseases,23,0.7596597698169708,0.867545342821668,0.6540204080625346
Both,Chronic respiratory diseases,24,0.8092266891440318,0.9284091461381226,0.6956906791689162
Both,Chronic respiratory diseases,25,0.8631902831873793,0.9952581889009727,0.7408083674660481
Both,Chronic respiratory diseases,26,0.9220381392785924,1.0671444054886625,0.7901046872007655
Both,Chronic respiratory diseases,27,0.9862578447492504,1.143119730279636,0.8443108526199048
Both,Chronic respiratory diseases,28,1.0578179579829665,1.2237291226321092,0.9050697225576577
Both,Chronic respiratory diseases,29,1.137915506688282,1.3106346660212282,0.9732990865723271
Both,Chronic respiratory diseases,30,1.2258807821841669,1.4045639810008335,1.0486425549969143
Both,Chronic respiratory diseases,31,1.321044075789591,1.506244688124765,1.1307437381644216
Both,Chronic respiratory diseases,32,1.4227356788235246,1.6164044079468634,1.2192462464078504
Both,Chronic respiratory diseases,33,1.5283333940238655,1.7327962405787338,1.3124081262439127
Both,Chronic respiratory diseases,34,1.640024623876041,1.8570745576703103,1.4123540832295618
Both,Chronic respiratory diseases,35,1.7643540593203142,1.9958188870829274,1.5245277162581599
Both,Chronic respiratory diseases,36,1.9078663912969485,2.1556087566779185,1.65437262422307
Both,Chronic respiratory diseases,37,2.077106310746207,2.3430236943166167,1.8073324060176552
Both,Chronic respiratory diseases,38,2.290749468294352,2.5772378529870315,2.000642680751612
Both,Chronic respiratory diseases,39,2.5591636501334896,2.8693428151728866,2.2444509341580514
Both,Chronic respiratory diseases,40,2.8764317505526495,3.2137942529790884,2.533568565065459
Both,Chronic respiratory diseases,41,3.2366366638408635,3.6050478385105444,2.86280697230232
Both,Chronic respiratory diseases,42,3.63386128428716,4.0375592438721615,3.2269775546971187
Both,Chronic respiratory diseases,43,4.074775510691282,4.519635725482845,3.633989776520838
Both,Chronic respiratory diseases,44,4.583402650939781,5.077276693763753,4.106907390895714
Both,Chronic respiratory diseases,45,5.179855712951899,5.731476051823164,4.663273229927114
Both,Chronic respiratory diseases,46,5.8842477046468815,6.503227702769359,5.320630125720406
Both,Chronic respiratory diseases,47,6.716691633943971,7.413525549710618,6.096520910380951
Both,Chronic respiratory diseases,48,7.808274398997822,8.606133872136457,7.11364077491057
Both,Chronic respiratory diseases,49,9.245168805753613,10.173653879746412,8.453303415200637
Both,Chronic respiratory diseases,50,10.980116723816371,12.060334870963795,10.070979420690868
Both,Chronic respiratory diseases,51,12.965860022791121,14.210426144211919,11.922139380820969
Both,Chronic respiratory diseases,52,15.155140572282894,16.568176997914097,13.96225388503065
Both,Chronic respiratory diseases,53,17.67030529531537,19.239114663288124,16.306899084534223
Both,Chronic respiratory diseases,54,20.66840707431485,22.38334891795433,19.10218047512862
Both,Chronic respiratory diseases,55,24.15424671799032,26.027002879939836,22.349362663127504
Both,Chronic respiratory diseases,56,28.132625035050744,30.196199667271763,26.049710254844538
Both,Chronic respiratory diseases,57,32.608342834205104,34.917062397977226,30.20448785659337
Both,Chronic respiratory diseases,58,38.09819407806331,40.769715469086314,35.27507786124299
Both,Chronic respiratory diseases,59,44.869645148213394,48.04244740614262,41.503889871431454
Both,Chronic respiratory diseases,60,52.553505481831564,56.32362751994351,48.563729308126085
Both,Chronic respiratory diseases,61,60.78058451609398,65.20162512128636,56.12740159229417
Both,Chronic respiratory diseases,62,69.18169168817684,74.2648095209685,63.867712144903024
Both,Chronic respiratory diseases,63,77.66775297302772,83.43398887426103,71.7272204727995
Both,Chronic respiratory diseases,64,86.5553465751925,93.06216330294856,79.99186399898866
Both,Chronic respiratory diseases,65,96.08376027624483,103.38599006759873,88.84951501867499
Both,Chronic respiratory diseases,66,106.49228185775833,114.64212642877914,98.4880458270631
Both,Chronic respiratory diseases,67,118.02019910130667,127.06722964705747,109.09532871935755
Both,Chronic respiratory diseases,68,130.85398226610909,140.78231161737162,120.79063499617173
Both,Chronic respiratory diseases,69,145.14672429832962,155.94784440245596,133.7051396462399
Both,Chronic respiratory diseases,70,161.08764700995914,172.8596755145727,148.04457049694784
Both,Chronic respiratory diseases,71,178.8659722129885,191.8136524659842,164.01465537568134
Both,Chronic respiratory diseases,72,198.67092171940848,213.1056227689528,181.8211221098261
Both,Chronic respiratory diseases,73,221.99451803600084,238.43811994435498,203.1112683706388
Both,Chronic respiratory diseases,74,249.50414203208388,268.5802896262613,228.44896174681045
Both,Chronic respiratory diseases,75,280.1520530634533,302.4278974967249,256.41478494187817
Both,Chronic respiratory diseases,76,312.8905104859048,338.87670923779893,285.58932065937915
Both,Chronic respiratory diseases,77,346.6717736552342,376.82249053153686,314.5531516028506
Both,Chronic respiratory diseases,78,381.7291084120624,416.63987848205966,343.31462670966596
Both,Chronic respiratory diseases,79,419.0612554194775,459.52404513517075,372.8747716091435
Both,Chronic respiratory diseases,80,458.7686862669758,505.6015585854474,403.3031840427382
Both,Chronic respiratory diseases,81,500.9518725440535,554.9989869274664,434.66946175190475
Both,Chronic respiratory diseases,82,545.711285840207,607.8428982558047,467.0432024780979
Both,Chronic respiratory diseases,83,593.4756853451872,665.0271998979782,500.0315251331777
Both,Chronic respiratory diseases,84,644.6474768470623,727.215138629649,533.6702196502893
Both,Chronic respiratory diseases,85,699.2876018328047,794.1872917176139,568.6718903028153
Both,Chronic respiratory diseases,86,757.4570017893865,865.7242364286692,605.749141364138
Both,Chronic respiratory diseases,87,819.2166182037801,941.6065500296116,645.61457710764
Both,Chronic respiratory diseases,88,887.0002578016412,1024.3529981991771,689.8518954799385
Both,Chronic respiratory diseases,89,961.4546363400976,1115.0182568846985,738.4329227187558
Both,Chronic respiratory diseases,90,1039.9600588533294,1211.186768755867,789.6524555341316
Both,Chronic respiratory diseases,91,1119.8968303755162,1310.4429764823751,841.8052906361055
Both,Chronic respiratory diseases,92,1198.6452559408383,1410.371322733914,893.1862247347171
Both,Chronic respiratory diseases,93,1276.21997142092,1511.1789076878156,943.8048466193262
Both,Chronic respiratory diseases,94,1354.3778943203258,1614.6240315957125,994.8048076184963
Both,Chronic respiratory diseases,95,1433.1127521226456,1720.6179372387487,1046.1819982510735
Both,Chronic respiratory diseases,96,1512.4182723114684,1829.0718673980678,1097.9323090359035
Both,Chronic respiratory diseases,97,1592.2881823703829,1939.8970648548127,1150.051630491832
Both,Chronic respiratory diseases,98,1592.288182370383,1939.8970648548127,1150.0516304918322
Both,Chronic respiratory diseases,99,1592.288182370383,1939.8970648548127,1150.0516304918322
Both,Chronic respiratory diseases,100,1592.288182370383,1939.8970648548127,1150.0516304918322
Both,"Communicable, maternal, neonatal, and nutritional diseases",0,302.28937596454045,317.52998558383143,282.7347195216988
Both,"Communicable, maternal, neonatal, and nutritional diseases",1,217.9600678092257,228.96500449789778,203.84725761291014
Both,"Communicable, maternal, neonatal, and nutritional diseases",2,68.13799843639364,71.61801615123936,63.69290167511951
Both,"Communicable, maternal, neonatal, and nutritional diseases",3,2.1117312654805107,2.2682457796637516,1.937530803471796
Both,"Communicable, maternal, neonatal, and nutritional diseases",4,1.557780360050673,1.674758473340813,1.436742795016765
Both,"Communicable, maternal, neonatal, and nutritional diseases",5,1.189480052341506,1.2802970934240936,1.1043833363624096
Both,"Communicable, maternal, neonatal, and nutritional diseases",6,0.9785482871894381,1.0542817461546268,0.9136977335589704
Both,"Communicable, maternal, neonatal, and nutritional diseases",7,0.8967030094308985,0.9661325377734477,0.8379312926566899
Both,"Communicable, maternal, neonatal, and nutritional diseases",8,0.8725840072301834,0.9395853635091649,0.8133218950737507
Both,"Communicable, maternal, neonatal, and nutritional diseases",9,0.8537242675761518,0.9188111335640138,0.7940096174408813
Both,"Communicable, maternal, neonatal, and nutritional diseases",10,0.8401815335420771,0.9038824766394655,0.78009305862714
Both,"Communicable, maternal, neonatal, and nutritional diseases",11,0.832013548201232,0.8948720214369912,0.7716708175015855
Both,"Communicable, maternal, neonatal, and nutritional diseases",12,0.8292780546268896,0.8918523966580617,0.7688414929332766
Both,"Communicable, maternal, neonatal, and nutritional diseases",13,0.86028255966631,0.9248581567681153,0.7971480671255693
Both,"Communicable, maternal, neonatal, and nutritional diseases",14,0.9430000572058365,1.0129938801158107,0.8726431719951256
Both,"Communicable, maternal, neonatal, and nutritional diseases",15,1.0619865208773671,1.13993723122745,0.9811898809809635
Both,"Communicable, maternal, neonatal, and nutritional diseases",16,1.2017979243127999,1.289365874629335,1.1086512675221003
Both,"Communicable, maternal, neonatal, and nutritional diseases",17,1.3469902411440329,1.4449574748477678,1.2408904050575542
Both,"Communicable, maternal, neonatal, and nutritional diseases",18,1.513065514261041,1.623660084157511,1.3921440385763113
Both,"Communicable, maternal, neonatal, and nutritional diseases",19,1.7198677699906373,1.8470344463931647,1.5803976540564808
Both,"Communicable, maternal, neonatal, and nutritional diseases",20,1.9584659571199787,2.105677263420787,1.7971374364207642
Both,"Communicable, maternal, neonatal, and nutritional diseases",21,2.2199290244362206,2.3901852371064343,2.0338495705918636
Both,"Communicable, maternal, neonatal, and nutritional diseases",22,2.495325920726521,2.6911550693161654,2.2820202414924795
Both,"Communicable, maternal, neonatal, and nutritional diseases",23,2.793725665755827,3.020786654437755,2.5477437090648825
Both,"Communicable, maternal, neonatal, and nutritional diseases",24,3.1265773289874064,3.392062107420781,2.841133667337048
Both,"Communicable, maternal, neonatal, and nutritional diseases",25,3.4885199337558896,3.7967514609740065,3.159705452360234
Both,"Communicable, maternal, neonatal, and nutritional diseases",26,3.8741925033959097,4.226624747806194,3.5009744001857004
Both,"Communicable, maternal, neonatal, and nutritional diseases",27,4.278234061242098,4.673452000626107,3.8624558468647057
Both,"Communicable, maternal, neonatal, and nutritional diseases",28,4.726000879059379,5.1647319151959685,4.269976237028194
Both,"Communicable, maternal, neonatal, and nutritional diseases",29,5.225056462635051,5.709650044758854,4.729765689525871
Both,"Communicable, maternal, neonatal, and nutritional diseases",30,5.743350686337309,6.272506708244805,5.209945051737131
Both,"Communicable, maternal, neonatal, and nutritional diseases",31,6.248833424534351,6.817602224583862,5.678635171041374
Both,"Communicable, maternal, neonatal, and nutritional diseases",32,6.70945455159437,7.309236912706062,6.103956894817996
Both,"Communicable, maternal, neonatal, and nutritional diseases",33,7.114281211422643,7.735682448868684,6.474298354391705
Both,"Communicable, maternal, neonatal, and nutritional diseases",34,7.487212390550319,8.124396375816794,6.813340392921938
Both,"Communicable, maternal, neonatal, and nutritional diseases",35,7.848445727284403,8.498457812212123,7.142142925540185
Both,"Communicable, maternal, neonatal, and nutritional diseases",36,8.218178859931903,8.880945876716401,7.481765867377935
Both,"Communicable, maternal, neonatal, and nutritional diseases",37,8.61660942679983,9.294939687991352,7.85326913356668
Both,"Communicable, maternal, neonatal, and nutritional diseases",38,9.051971608038203,9.750107681575209,8.266516619565516
Both,"Communicable, maternal, neonatal, and nutritional diseases",39,9.512489725758586,10.232884220830028,8.710074992977912
Both,"Communicable, maternal, neonatal, and nutritional diseases",40,9.988346631210298,10.731497316153286,9.173058327151924
Both,"Communicable, maternal, neonatal, and nutritional diseases",41,10.469725175642656,11.234174977942457,9.644580695435609
Both,"Communicable, maternal, neonatal, and nutritional diseases",42,10.946808210304978,11.729145216595018,10.113756171177018
