Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Both sexes,2023,0,0,0,
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,60-64 years,Both sexes,2023,471.44,706.79,283.67
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,60-64 years,Both sexes,2023,228.49,246.2,212.56
All Population,Prevalence,Rate,Motor neuron disease,United States of America,60-64 years,Both sexes,2023,21.29,26.11,17.81
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,65-69 years,Both sexes,2023,"2,096.57","2,673.19","1,639.24"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,65-69 years,Both sexes,2023,640.92,749.33,549.36
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,65-69 years,Both sexes,2023,518.82,777.69,309.02
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,65-69 years,Both sexes,2023,213.56,230.08,199.2
All Population,Prevalence,Rate,Motor neuron disease,United States of America,65-69 years,Both sexes,2023,29.77,36.9,24.2
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,70-74 years,Both sexes,2023,"3,907.39","5,002.50","2,947.37"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,70-74 years,Both sexes,2023,"1,254.65","1,474.99","1,055.57"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,70-74 years,Both sexes,2023,558.18,820.65,338.95
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,70-74 years,Both sexes,2023,192.21,208.29,177.33
All Population,Prevalence,Rate,Motor neuron disease,United States of America,70-74 years,Both sexes,2023,38.62,47.22,31.34
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,75-79 years,Both sexes,2023,"7,561.34","9,630.36","5,763.48"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,75-79 years,Both sexes,2023,"2,005.30","2,312.14","1,735.17"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,75-79 years,Both sexes,2023,606.17,879.94,365.01
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,75-79 years,Both sexes,2023,165.59,179.46,151.61
All Population,Prevalence,Rate,Motor neuron disease,United States of America,75-79 years,Both sexes,2023,41.86,51.66,33.06
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,80-84 years,Both sexes,2023,"13,762.40","17,607.40","10,467.08"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,80-84 years,Both sexes,2023,"2,664.10","3,090.46","2,223.87"
