Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Both sexes,2023,0,0,0,
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,5-9 years,Females,2023,255.12,397.13,147.32
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,10-14 years,Females,2023,307.57,492.81,170.96
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,15-19 years,Females,2023,346.55,511.46,201.84
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,20-24 years,Females,2023,377.41,582.69,223.43
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,25-29 years,Females,2023,401.37,584.99,225.67
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,30-34 years,Females,2023,418.04,600.72,250.73
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,35-39 years,Females,2023,422.06,602.5,249.5
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,40-44 years,Females,2023,416.88,616.19,241.73
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,45-49 years,Females,2023,406.06,598.12,241.73
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,50-54 years,Females,2023,397.62,581.87,230.45
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,55-59 years,Females,2023,409.67,607.98,251.72
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,60-64 years,Females,2023,444.83,673.8,272.47
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,65-69 years,Females,2023,483.47,727.95,288.22
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,70-74 years,Females,2023,515.86,761.31,310.22
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,75-79 years,Females,2023,557.17,813.77,336.35
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,All ages,Females,2023,405.77,552.63,254.83
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,80-84 years,Females,2023,607.35,891.08,353.66
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,85-89 years,Females,2023,656.1,997.01,375.8
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,90-94 years,Females,2023,709.36,"1,070.56",382.54
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,95+ years,Females,2023,788.94,"1,245.64",430.27
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,<5 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,5-9 years,Females,2023,0.48,0.79,0.22
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,10-14 years,Females,2023,4.03,5.6,2.82
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,15-19 years,Females,2023,18.08,23.8,13.98
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,20-24 years,Females,2023,60.77,77.98,48.46
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,25-29 years,Females,2023,135.43,162.7,109.04
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,30-34 years,Females,2023,216.71,244.97,187.61
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,35-39 years,Females,2023,280.38,311.52,248.68
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,40-44 years,Females,2023,321.54,350.03,296.1
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,45-49 years,Females,2023,339.76,364.99,314.86
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,50-54 years,Females,2023,339.92,365.26,315.43
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,55-59 years,Females,2023,332.52,357.44,309.01
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,60-64 years,Females,2023,318.68,343.98,296.33
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,65-69 years,Females,2023,296.13,318.64,275.43
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,70-74 years,Females,2023,265.69,287.13,246.43
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,75-79 years,Females,2023,228.13,246.95,210.67
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,All ages,Females,2023,196.25,210.6,183.49
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,80-84 years,Females,2023,187.75,204.42,170.31
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,85-89 years,Females,2023,148.22,164.84,130.76
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,90-94 years,Females,2023,112.65,130.17,92.87
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,95+ years,Females,2023,83.31,100.9,63.2
All Population,Prevalence,Rate,Motor neuron disease,United States of America,<5 years,Females,2023,2.97,3.45,2.55
All Population,Prevalence,Rate,Motor neuron disease,United States of America,5-9 years,Females,2023,4.48,5.29,3.83
All Population,Prevalence,Rate,Motor neuron disease,United States of America,10-14 years,Females,2023,4.52,5.37,3.86
All Population,Prevalence,Rate,Motor neuron disease,United States of America,15-19 years,Females,2023,4.48,5.33,3.8
All Population,Prevalence,Rate,Motor neuron disease,United States of America,20-24 years,Females,2023,4.42,5.23,3.75
All Population,Prevalence,Rate,Motor neuron disease,United States of America,25-29 years,Females,2023,4.3,5.08,3.68
All Population,Prevalence,Rate,Motor neuron disease,United States of America,30-34 years,Females,2023,4.17,4.87,3.57
All Population,Prevalence,Rate,Motor neuron disease,United States of America,35-39 years,Females,2023,4.31,5.15,3.63
All Population,Prevalence,Rate,Motor neuron disease,United States of America,40-44 years,Females,2023,5.07,6.37,4.07
All Population,Prevalence,Rate,Motor neuron disease,United States of America,45-49 years,Females,2023,6.45,8.39,4.88
All Population,Prevalence,Rate,Motor neuron disease,United States of America,50-54 years,Females,2023,8.94,11.2,6.96
All Population,Prevalence,Rate,Motor neuron disease,United States of America,55-59 years,Females,2023,12.4,15.13,9.99
All Population,Prevalence,Rate,Motor neuron disease,United States of America,60-64 years,Females,2023,16.5,20.18,13.44
All Population,Prevalence,Rate,Motor neuron disease,United States of America,65-69 years,Females,2023,24.04,30,19.35
All Population,Prevalence,Rate,Motor neuron disease,United States of America,70-74 years,Females,2023,31.98,39.54,25.88
All Population,Prevalence,Rate,Motor neuron disease,United States of America,75-79 years,Females,2023,34.88,43.25,27.21
All Population,Prevalence,Rate,Motor neuron disease,United States of America,All ages,Females,2023,10.73,11.65,9.79
All Population,Prevalence,Rate,Motor neuron disease,United States of America,80-84 years,Females,2023,30.2,37.69,23.61
All Population,Prevalence,Rate,Motor neuron disease,United States of America,85-89 years,Females,2023,27.01,33.97,20.88
All Population,Prevalence,Rate,Motor neuron disease,United States of America,90-94 years,Females,2023,20.9,28.03,15.19
All Population,Prevalence,Rate,Motor neuron disease,United States of America,95+ years,Females,2023,20,29.77,12.25
