population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,102,United States of America,3,Both,17,60-64 years,508,Chronic respiratory diseases,3,Rate,2023,69.18169168817684,74.2648095209685,63.867712144903024
1,All Population,1,Deaths,102,United States of America,1,Male,18,65-69 years,508,Chronic respiratory diseases,3,Rate,2023,128.53249553912812,141.1124368278902,116.34325164392365
1,All Population,1,Deaths,102,United States of America,2,Female,18,65-69 years,508,Chronic respiratory diseases,3,Rate,2023,108.42482726303791,120.70691810895315,97.10146428236177
1,All Population,1,Deaths,102,United States of America,3,Both,18,65-69 years,508,Chronic respiratory diseases,3,Rate,2023,118.02019910130669,127.06722964705749,109.09532871935755
1,All Population,1,Deaths,102,United States of America,1,Male,19,70-74 years,508,Chronic respiratory diseases,3,Rate,2023,219.459668547265,242.2478778004124,198.4171407785332
1,All Population,1,Deaths,102,United States of America,2,Female,19,70-74 years,508,Chronic respiratory diseases,3,Rate,2023,180.60390097355986,203.6715026458304,159.3281872237375
1,All Population,1,Deaths,102,United States of America,3,Both,19,70-74 years,508,Chronic respiratory diseases,3,Rate,2023,198.67092171940848,213.1056227689528,181.8211221098261
1,All Population,1,Deaths,102,United States of America,1,Male,20,75-79 years,508,Chronic respiratory diseases,3,Rate,2023,376.8650323561167,415.52408612536703,341.5214392383333
1,All Population,1,Deaths,102,United States of America,2,Female,20,75-79 years,508,Chronic respiratory diseases,3,Rate,2023,321.59303006105296,364.4114868233065,276.0693070853149
1,All Population,1,Deaths,102,United States of America,3,Both,20,75-79 years,508,Chronic respiratory diseases,3,Rate,2023,346.6717736552342,376.82249053153686,314.5531516028506
1,All Population,1,Deaths,102,United States of America,1,Male,30,80-84 years,508,Chronic respiratory diseases,3,Rate,2023,605.8002679741014,679.7941634835081,524.2146776410937
1,All Population,1,Deaths,102,United States of America,2,Female,30,80-84 years,508,Chronic respiratory diseases,3,Rate,2023,500.471408219147,579.576294633343,388.47499079597156
1,All Population,1,Deaths,102,United States of America,3,Both,30,80-84 years,508,Chronic respiratory diseases,3,Rate,2023,545.711285840207,607.8428982558047,467.04320247809795
1,All Population,1,Deaths,102,United States of America,1,Male,31,85-89 years,508,Chronic respiratory diseases,3,Rate,2023,932.7860200123982,1072.0882907219843,781.0173302160863
1,All Population,1,Deaths,102,United States of America,2,Female,31,85-89 years,508,Chronic respiratory diseases,3,Rate,2023,744.865194120906,889.7395596991455,551.7538662475386
