sex,age,cause,val,upper,lower
Both,90-94 years,"Communicable, maternal, neonatal, and nutritional diseases",1283.9888517184702,1473.602822486693,970.515348492775
Both,95+ years,"Communicable, maternal, neonatal, and nutritional diseases",2327.009321552906,2751.7304740004965,1702.5362558925838
Both,<1 year,Diabetes and kidney diseases,0.8394642262669104,0.9618843244751982,0.7275044808379874
Both,<5 years,Diabetes and kidney diseases,0.2906344674638135,0.32703735900527,0.2565841634583408
Both,2-4 years,Diabetes and kidney diseases,0.1259251574076852,0.140972497869842,0.1121148705670367
Both,5-9 years,Diabetes and kidney diseases,0.1119695250878184,0.1247222455322067,0.1007587069837721
Both,10-14 years,Diabetes and kidney diseases,0.1958758713273878,0.2203382445945171,0.1753724319060592
Both,15-19 years,Diabetes and kidney diseases,0.5383435043532518,0.5897244738502083,0.4865270885625172
Both,20-24 years,Diabetes and kidney diseases,1.2924484198876962,1.420521003341101,1.1619927510279973
Both,25-29 years,Diabetes and kidney diseases,2.448675050643011,2.7451548508232304,2.179749893908209
Both,30-34 years,Diabetes and kidney diseases,4.3522862238220315,4.86057210419012,3.872342168425437
Both,35-39 years,Diabetes and kidney diseases,7.547844095504695,8.353047939798149,6.724068080263138
Both,40-44 years,Diabetes and kidney diseases,12.52904718103462,13.82140540070572,11.260651100115217
Both,45-49 years,Diabetes and kidney diseases,21.043583993005633,22.95406249416894,19.146310366078172
Both,50-54 years,Diabetes and kidney diseases,34.41652990886417,37.26027740637269,31.726380911067046
Both,55-59 years,Diabetes and kidney diseases,53.16689585223084,57.047993659234265,49.05361144324562
Both,60-64 years,Diabetes and kidney diseases,82.25887428954911,88.06870951515161,76.53411385536572
Both,65-69 years,Diabetes and kidney diseases,119.00048777445306,127.1305590155779,110.09328460335712
Both,70-74 years,Diabetes and kidney diseases,179.69883032019376,193.0755437493993,164.69410061035776
Both,75-79 years,Diabetes and kidney diseases,274.48898254644774,296.20216385659273,246.06330538664977
Both,80-84 years,Diabetes and kidney diseases,445.98216925623086,495.4835495707138,369.98544209525784
Both,85-89 years,Diabetes and kidney diseases,772.4360700059814,875.8503335924431,601.5708518700792
Both,90-94 years,Diabetes and kidney diseases,1372.777695072764,1581.4304406424565,1009.0634169175476
Both,95+ years,Diabetes and kidney diseases,2110.8736193082136,2506.554098694574,1531.7600532573422
Both,<1 year,Digestive diseases,2.7159384123420147,3.196224764188094,2.3107750012354815
Both,<5 years,Digestive diseases,1.065499960557861,1.239982977423843,0.9145746068260964
Both,2-4 years,Digestive diseases,0.4961634080574065,0.574667352907543,0.4307257764205795
Both,5-9 years,Digestive diseases,0.2773257830978095,0.3292962167916664,0.2378613345666345
Both,10-14 years,Digestive diseases,0.3286340478531283,0.3900244189549519,0.2838169192416441
Both,15-19 years,Digestive diseases,0.5014845374237018,0.5851554273745466,0.4308674371405083
Both,20-24 years,Digestive diseases,0.973509392169082,1.1243540151460722,0.8425222954666555
Both,25-29 years,Digestive diseases,2.682322279952457,3.0269599136864347,2.368145886419052
Both,30-34 years,Digestive diseases,6.76154525813911,7.507920736011758,6.068962867477046
Both,35-39 years,Digestive diseases,12.019558648207648,13.197348939391205,10.866239420049482
Both,40-44 years,Digestive diseases,17.132143106804822,18.48876471619447,15.650186494161831
Both,45-49 years,Digestive diseases,25.220384752830057,26.99584422900023,23.401452767542303
Both,50-54 years,Digestive diseases,36.386702310593584,38.50918125672777,34.216657986400556
Both,55-59 years,Digestive diseases,59.46350047468477,63.19320595194796,55.66005309940192
Both,60-64 years,Digestive diseases,75.67924285260081,80.37349137301395,70.7766885830137
Both,65-69 years,Digestive diseases,88.75058801313112,95.20556497022967,82.4717374187737
Both,70-74 years,Digestive diseases,105.65379279392948,113.23867453283506,96.1883877890436
Both,75-79 years,Digestive diseases,136.69460590762054,148.74927353864473,122.3007821750676
Both,80-84 years,Digestive diseases,196.66562696529795,221.70662540921407,161.76914617746135
Both,85-89 years,Digestive diseases,310.65284412645354,362.2083737378402,238.97886275457716
Both,90-94 years,Digestive diseases,509.262488178256,606.5292531013623,380.6804446403519
Both,95+ years,Digestive diseases,726.9575246190053,877.4743165681357,525.9594361973056
Both,<1 year,Injuries,52.06504920016214,56.272771373895985,47.47276369807633
Both,<5 years,Injuries,20.413163224942753,21.71321467990899,18.958479797759836
Both,2-4 years,Injuries,10.95956524019998,11.495506439062924,10.286220888204763
Both,5-9 years,Injuries,5.315557867795219,5.597392303372818,5.022683472624222
Both,10-14 years,Injuries,8.845798129560855,9.183198681293934,8.565907052955001
Both,15-19 years,Injuries,39.658630553498256,40.96666770570934,37.785868947344376
Both,20-24 years,Injuries,56.0035480621117,59.92354580842584,51.9745898167388
Both,25-29 years,Injuries,56.26589124728098,61.191096682886894,51.45464985795716
Both,30-34 years,Injuries,58.77472837489017,63.860685500209634,53.57992119904945
Both,35-39 years,Injuries,57.23584577475451,62.10687261390875,52.247472845001994
Both,40-44 years,Injuries,57.5990069636013,62.100822805607805,52.99023701148764
Both,45-49 years,Injuries,54.06691267004808,57.41405147346462,50.14977810883554
Both,50-54 years,Injuries,55.13197571431565,57.91024670880789,52.14542954525549
Both,55-59 years,Injuries,58.69679269052743,61.23788250235281,55.9888250908298
Both,60-64 years,Injuries,63.44042822295074,65.94101936852448,60.27107525153551
Both,65-69 years,Injuries,69.62210060946343,72.87425075401727,65.90919753856126
Both,70-74 years,Injuries,86.88182272656081,92.292093543023,80.4197205902983
Both,75-79 years,Injuries,131.18667215991127,141.24650649661234,119.0576066572581
Both,80-84 years,Injuries,220.44225211645423,245.01337244562865,186.6514074627197
Both,85-89 years,Injuries,389.3720350928676,447.2872912502132,314.15938209732803
Both,90-94 years,Injuries,683.1414869797146,796.6715936037681,517.5002022707482
Both,95+ years,Injuries,1006.4253612596576,1201.6571748766396,727.0607210289096
Both,5-9 years,Mental disorders,2.4756701035495464e-06,3.0444216136734133e-05,1.0039514113366545e-07
Both,10-14 years,Mental disorders,0.0003888621639856,0.0012643816025937,0.0001328568407729
Both,15-19 years,Mental disorders,0.0072811206280232,0.0181674734823175,0.0033912088769809
Both,20-24 years,Mental disorders,0.0177921615351063,0.0336680307803995,0.008819524961686
Both,25-29 years,Mental disorders,0.0268642042752758,0.0482261401801199,0.0114628344523328
Both,30-34 years,Mental disorders,0.0335663844744969,0.0614027443342021,0.0134135145624122
Both,35-39 years,Mental disorders,0.0339599539883505,0.0604619564806052,0.0160016907936266
Both,40-44 years,Mental disorders,0.0381360819023098,0.0739150268520064,0.0175926428647119
Both,45-49 years,Mental disorders,0.031103279943748,0.0601631953588664,0.0153657490059115
Both,<1 year,Musculoskeletal disorders,0.0650377464290956,0.0746884856729397,0.0569212894256294
Both,<5 years,Musculoskeletal disorders,0.0297595915502063,0.0344149020187801,0.0259294288607547
Both,2-4 years,Musculoskeletal disorders,0.016664433383762,0.0196708514147021,0.0142693392389552
Both,5-9 years,Musculoskeletal disorders,0.0300579021477401,0.0347374675929283,0.0259452873012377
Both,10-14 years,Musculoskeletal disorders,0.0650058073541448,0.0778564901024148,0.0548328400010952
Both,15-19 years,Musculoskeletal disorders,0.1340189552122517,0.1612139926197302,0.1126647161590671
Both,20-24 years,Musculoskeletal disorders,0.2852737659786158,0.3440687349672565,0.242673904004246
Both,25-29 years,Musculoskeletal disorders,0.3613279326537154,0.4308196130561403,0.3083405168217105
Both,30-34 years,Musculoskeletal disorders,0.5375552332622756,0.6370294127438315,0.4608862183992104
Both,35-39 years,Musculoskeletal disorders,0.7098868669256835,0.8211359304364737,0.617123091596698
Both,40-44 years,Musculoskeletal disorders,0.9613031014463188,1.0983859940587666,0.8416140794537862
Both,45-49 years,Musculoskeletal disorders,1.2204311574027649,1.388387928134933,1.0823586596988295
