cause_id,cause_name,parent_id,level,sex,age,val,upper,lower
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,0,24702.83340768412,26643.269231020473,22872.82556111808
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,1,24702.83340768412,26643.269231020473,22872.82556111808
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,2,24702.83340768412,26643.269231020473,22872.82556111808
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,3,23043.070727176088,25203.043102370644,21215.848186493848
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,4,21711.877911670446,24083.690678457227,19843.27515247417
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,5,20732.38665750729,23284.73891128056,18803.25426866377
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,6,20127.72866102667,22805.71475284098,18143.933344667403
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,7,19921.03561856867,22646.14515513882,17913.46019008978
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,8,20148.877206697227,22880.41289832029,18082.3084412167
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,9,20757.279467285505,23509.621761051272,18538.133208970452
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,10,21633.55864463742,24423.38019311161,19204.854514910516
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,11,22665.030983056866,25511.296644281145,20006.39238059638
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,12,23739.01272684777,26662.979564339726,20866.66682758751
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,13,25041.850914598737,28145.74344744196,22006.91038542416
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,14,26722.3464572701,30135.73398329106,23572.328398090547
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,15,28611.496407723313,32385.80641498979,25372.800108812145
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,16,30540.29781881983,34648.8159856409,27218.204760814388
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,17,32339.74774342112,36677.61793834715,28918.42159732276
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,18,34065.72235325965,38549.13495887753,30510.78841841917
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,19,35831.285201291175,40433.66943883318,32122.56562664902
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,20,37553.21441221221,42224.1461800652,33698.51636893299
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,21,39148.288110719215,43813.48998442463,35183.40379219175
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,22,40533.28442150866,45094.62565376255,36521.99104334596
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,23,41722.34146225969,46072.86331892128,37750.609070105376
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,24,42800.443733619875,46881.20678235483,38922.78006767033
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,25,43790.6389347383,47604.121353331786,40009.05405419735
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,26,44715.97476476405,48326.07234112076,40979.98104784302
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,27,45599.498922846185,49131.525054990336,41806.111066763864
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,28,46450.22379982594,50061.506912732206,42495.30080364391
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,29,47259.853173287906,51062.20763268078,43095.77663137486
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,30,48025.47182249628,52075.83597491865,43638.64308842473
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,31,48744.164526715256,53044.60069952845,44155.00471326159
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,32,49413.01606520902,53910.71056659281,44675.966044353496
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,33,50101.403745799355,54745.8592921061,45254.730209108195
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,34,50817.7705514481,55597.78526961988,45871.620535217655
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,35,51467.799774129504,56372.76427555255,46448.4218615763
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,36,51957.17470581784,56977.07208632253,46906.91902707851
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,37,52191.578638487365,57316.98447834821,47168.896870618686
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,38,52260.94008021434,57482.63747843853,47298.50987259119
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,39,52317.18542793903,57622.44866587635,47408.52907043457
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,40,52358.99480693162,57730.11614579094,47493.66413860946
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,41,52385.04834246236,57799.33802331155,47548.624751576586
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,42,52394.02615980144,57823.812403567485,47568.12058379659
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,43,52330.31564817539,57751.36440020036,47500.843736162155
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,44,52158.75351253646,57558.661006056136,47318.75347858779
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,45,51908.69385174348,57282.663145070495,47051.46023906688
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,46,51609.49076465526,56960.33174117915,46728.57444559284
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,47,51290.49835013064,56628.627718317795,46379.70652615907
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,48,50786.84707361357,56178.09063594329,45801.82208893589
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,49,50047.303623312575,55565.29950098093,44932.81998381018
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,50,49271.67643223338,54926.27440856917,44013.71050135019
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,51,48659.77393338168,54397.03545384638,43285.50393212416
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,52,48411.40455976317,54113.602731951,42989.21056670032
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,53,48422.93777872022,54022.3209175251,43043.23840105232
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,54,48450.44007007932,53964.97633466632,43172.07400604555
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,55,48483.26538557245,53920.75155269643,43325.84553458587
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,56,48510.767676931544,53868.82914093718,43454.681139579094
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,57,48522.30089588859,53788.391668710356,43508.7089739311
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,58,48442.72749753546,53656.04046712809,43465.26901282164
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,59,48232.21225721026,53466.82842514853,43347.05667140528
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,60,47933.06260701429,53227.61544886244,43172.233262550035
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,61,47587.58597904884,52945.26144436056,42958.96009912389
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,62,47238.08980541522,52626.626317733695,42725.39849399487
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,63,46845.961011663545,52187.268575014816,42394.60337938278
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,64,46368.26789116842,51590.57073683785,41919.794617996515
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,65,45840.839927767855,50915.128731194935,41364.380918437695
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,66,45299.50660529987,50239.53848607819,40791.77098930795
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,67,44780.0974076025,49642.39592947976,40265.3735392089
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,68,44273.52072587534,49131.08116427335,39786.33993526711
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,69,43755.87046010103,48650.63401947033,39312.32037372082
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,70,43240.75435729218,48186.14001226931,38841.47180683912
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,71,42741.78016446133,47722.684659868915,38371.951186891085
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,72,42272.55562862105,47245.35347946775,37901.91546614585
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,73,41826.59167708107,46748.943138971605,37386.289078708774
