cause_id,cause_name,parent_id,level,sex,age,val,upper,lower
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,50-54 years,44974.960338041,51516.296480747405,39366.91400012259
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,55-59 years,46910.02782967106,53307.5258642462,41655.46645354889
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,60-64 years,45956.83872080703,52734.05847770781,40776.12146498316
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,65-69 years,44170.66774315732,50219.17737276149,38598.35958759615
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,70-74 years,41754.54198570278,47477.04644592306,36543.40332170416
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,75-79 years,40317.73034572847,45941.62644712176,34949.20187785454
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,80-84 years,39970.41058776672,45664.09243143365,34500.609966633114
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,85-89 years,36326.11253619089,42211.15354815027,31448.87127819136
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,90-94 years,36473.776485121736,44627.62819060794,30607.641568024057
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,95+ years,35530.68608590338,43311.91719163416,30468.72658093305
410,Neoplasms,409,2,Both,<5 years,1000.17737553718,1228.27562390907,807.62153988192
410,Neoplasms,409,2,Both,5-9 years,821.6141755987901,1047.73166363703,647.11204882506
410,Neoplasms,409,2,Both,10-14 years,736.19915197236,1003.24193906286,524.01856883884
410,Neoplasms,409,2,Both,15-19 years,992.41505437003,1324.33224138139,725.99644407683
410,Neoplasms,409,2,Both,20-24 years,1450.17615876337,1947.55189061497,1098.83397180323
410,Neoplasms,409,2,Both,25-29 years,2231.99009388188,2793.28625419645,1729.8333056400402
410,Neoplasms,409,2,Both,30-34 years,3172.93335603231,3940.5784503782097,2497.32924261905
410,Neoplasms,409,2,Both,35-39 years,4208.4572715551,5296.744939553169,3397.0664690325
410,Neoplasms,409,2,Both,40-44 years,5471.47478049048,6933.76910382295,4417.2565265148605
410,Neoplasms,409,2,Both,45-49 years,6978.71818187884,8441.95623837187,5671.82621809017
410,Neoplasms,409,2,Both,50-54 years,9178.58902432361,11376.50182178235,7482.22724528698
410,Neoplasms,409,2,Both,55-59 years,12240.116627951831,14255.89768940782,10444.28424482509
410,Neoplasms,409,2,Both,60-64 years,15942.518360297512,18644.429254786988,13472.06725022008
410,Neoplasms,409,2,Both,65-69 years,19259.740985774828,22202.05893116959,16522.61039223822
410,Neoplasms,409,2,Both,70-74 years,21990.01821110375,25500.6229647059,19128.748837816813
410,Neoplasms,409,2,Both,75-79 years,24045.67805184081,26971.71193360326,21253.50512143951
410,Neoplasms,409,2,Both,80-84 years,24790.39813581013,28353.90500922045,21606.38314058856
410,Neoplasms,409,2,Both,85-89 years,25891.66782246389,29176.648946646437,23039.85979270184
410,Neoplasms,409,2,Both,90-94 years,23195.448757571772,26532.026086245107,20337.6431769624
410,Neoplasms,409,2,Both,95+ years,22995.34043288748,27322.958162190404,19493.24539254071
410,Neoplasms,409,2,Female,<5 years,1109.8330844491,1357.50461828806,905.66102295558
410,Neoplasms,409,2,Female,5-9 years,913.54525681396,1166.5415673744,708.67583963609
410,Neoplasms,409,2,Female,10-14 years,825.0145597203299,1114.62946964308,585.577817137
410,Neoplasms,409,2,Female,15-19 years,1223.58836160372,1644.66601699122,885.7110369074601
410,Neoplasms,409,2,Female,20-24 years,1918.13221602258,2607.61323747139,1451.66565120994
410,Neoplasms,409,2,Female,25-29 years,3118.37875628735,3948.95235710566,2420.5500722166403
410,Neoplasms,409,2,Female,30-34 years,4541.69755612726,5683.2503785362305,3597.0710881075097
410,Neoplasms,409,2,Female,35-39 years,6086.57945828516,7619.08440780083,4952.27773432991
410,Neoplasms,409,2,Female,40-44 years,7799.219068837369,9932.92801236908,6382.3620343045395
410,Neoplasms,409,2,Female,45-49 years,9543.94682185273,11469.17102246636,7822.2108114303
410,Neoplasms,409,2,Female,50-54 years,11504.33732680581,14164.736244958178,9396.4771695947
410,Neoplasms,409,2,Female,55-59 years,13799.87355384068,16143.30973088483,11906.26258131064
410,Neoplasms,409,2,Female,60-64 years,16189.57801146705,19316.43039321071,13688.15858632279
410,Neoplasms,409,2,Female,65-69 years,18138.034199461308,21361.82574559679,15629.91511660587
410,Neoplasms,409,2,Female,70-74 years,19813.448126559368,23517.052387752472,17075.663640614137
410,Neoplasms,409,2,Female,75-79 years,21051.380341424,23756.42522846611,18587.78949232139
410,Neoplasms,409,2,Female,80-84 years,21252.57574015061,24375.45621058537,18280.15789741143
410,Neoplasms,409,2,Female,85-89 years,22537.4656652089,25517.2701810568,19702.93577356014
410,Neoplasms,409,2,Female,90-94 years,19956.55139250121,22966.21817749478,17299.03458166415
410,Neoplasms,409,2,Female,95+ years,20546.44447253928,24321.99961905443,17397.26044274299
410,Neoplasms,409,2,Male,<5 years,895.2567050361799,1124.3433412955,719.4172086864301
410,Neoplasms,409,2,Male,5-9 years,733.81041279105,935.20865217034,585.20950828356
410,Neoplasms,409,2,Male,10-14 years,651.6657572663399,903.59570282072,461.6064763147499
410,Neoplasms,409,2,Male,15-19 years,772.15053055463,1006.91585719118,570.30792995001
410,Neoplasms,409,2,Male,20-24 years,999.64064765098,1342.92930359606,756.44636397168
410,Neoplasms,409,2,Male,25-29 years,1374.70476287341,1757.38607504531,1030.34159897787
410,Neoplasms,409,2,Male,30-34 years,1838.06933257097,2310.00675849098,1414.84157847174
410,Neoplasms,409,2,Male,35-39 years,2378.54244450025,3031.48169180922,1852.80244504207
410,Neoplasms,409,2,Male,40-44 years,3176.59831991372,4139.96202847307,2465.7675745800902
410,Neoplasms,409,2,Male,45-49 years,4418.5127731803805,5413.5787515265,3534.3504736936397
410,Neoplasms,409,2,Male,50-54 years,6847.676105323911,8395.33564743836,5650.584134154949
410,Neoplasms,409,2,Male,55-59 years,10647.63264987766,12348.55453026232,8837.124926701501
410,Neoplasms,409,2,Male,60-64 years,15683.19405359434,18203.96707160563,13150.36735871048
410,Neoplasms,409,2,Male,65-69 years,20488.63700489683,23284.46496907546,17361.331120673047
410,Neoplasms,409,2,Male,70-74 years,24494.48007436231,27995.74734493554,21334.26729189171
410,Neoplasms,409,2,Male,75-79 years,27650.627600392007,30910.571929736252,24283.29969215634
410,Neoplasms,409,2,Male,80-84 years,29489.441499860142,33607.48541511367,25619.435585969568
410,Neoplasms,409,2,Male,85-89 years,31015.10341557408,35011.36185641413,27368.8562542578
410,Neoplasms,409,2,Male,90-94 years,29471.39020735043,33650.01484055773,25794.13823966341
410,Neoplasms,409,2,Male,95+ years,29539.53171337121,35379.73404982769,24710.60918048221
491,Cardiovascular diseases,409,2,Both,<5 years,648.18342445186,825.56943009974,503.9928784846
491,Cardiovascular diseases,409,2,Both,5-9 years,792.21403628235,1071.0454368220298,574.20708903895
491,Cardiovascular diseases,409,2,Both,10-14 years,865.95372316149,1201.21279965785,635.74865828772
491,Cardiovascular diseases,409,2,Both,15-19 years,1118.38539393164,1653.1476977861,815.5878537026999
491,Cardiovascular diseases,409,2,Both,20-24 years,1227.18215533313,1663.88374397137,946.10133078418
491,Cardiovascular diseases,409,2,Both,25-29 years,1657.33001038529,2170.60141017262,1288.2871663793098
491,Cardiovascular diseases,409,2,Both,30-34 years,2312.62572331001,3072.24327899674,1784.97339889535
491,Cardiovascular diseases,409,2,Both,35-39 years,3268.36806791834,4157.87404429128,2614.8693371957197
491,Cardiovascular diseases,409,2,Both,40-44 years,5268.6886140302,6589.0431089168105,4306.21299860822
491,Cardiovascular diseases,409,2,Both,45-49 years,8157.472465129919,9716.7748757181,7008.739749182801
491,Cardiovascular diseases,409,2,Both,50-54 years,12256.284631461427,13976.40111536824,10651.86067252384
491,Cardiovascular diseases,409,2,Both,55-59 years,17877.20077411353,20203.08410489983,16088.24794374153
491,Cardiovascular diseases,409,2,Both,60-64 years,25716.11370634193,28950.53667959492,23194.683778290408
491,Cardiovascular diseases,409,2,Both,65-69 years,37245.11108097,41203.49940902649,34037.80139996662
491,Cardiovascular diseases,409,2,Both,70-74 years,48790.72539616232,52534.53613321527,45288.48307636209
491,Cardiovascular diseases,409,2,Both,75-79 years,58989.578540821894,62871.76566599049,55270.721195863815
491,Cardiovascular diseases,409,2,Both,80-84 years,67401.36155541481,71190.41162441646,63261.8361283364
491,Cardiovascular diseases,409,2,Both,85-89 years,74330.26170959964,78701.68296495652,69660.9820130047
491,Cardiovascular diseases,409,2,Both,90-94 years,79184.29638399977,84787.82755177337,74233.81719487222
491,Cardiovascular diseases,409,2,Both,95+ years,82098.16299038159,88644.25250655867,75381.36460446854
491,Cardiovascular diseases,409,2,Female,<5 years,538.9652220496799,686.78188699268,420.55237080629
491,Cardiovascular diseases,409,2,Female,5-9 years,739.57094874367,1025.62001368241,521.53677144649
491,Cardiovascular diseases,409,2,Female,10-14 years,824.96534598644,1167.99817757231,596.36490949071
491,Cardiovascular diseases,409,2,Female,15-19 years,1130.23048538606,1684.4731626612,787.7801155932699
491,Cardiovascular diseases,409,2,Female,20-24 years,1261.7874766313698,1775.0573171034698,940.82430264185
491,Cardiovascular diseases,409,2,Female,25-29 years,1754.5185250460602,2412.6308144452,1307.94685189522
491,Cardiovascular diseases,409,2,Female,30-34 years,2415.47672177026,3400.26815554455,1766.23716193133
491,Cardiovascular diseases,409,2,Female,35-39 years,3265.82717936999,4317.10687502058,2487.24335004583
491,Cardiovascular diseases,409,2,Female,40-44 years,4997.73832111786,6472.479956847341,3947.4852244533504
491,Cardiovascular diseases,409,2,Female,45-49 years,7258.2151339191105,9019.35716998725,6010.39839754881
491,Cardiovascular diseases,409,2,Female,50-54 years,10293.3104683362,12140.93575408867,8802.28493795785
491,Cardiovascular diseases,409,2,Female,55-59 years,14253.76381674771,16829.36970676436,12599.0187151851
491,Cardiovascular diseases,409,2,Female,60-64 years,20377.71983635849,23430.14142303555,18190.61845548745
491,Cardiovascular diseases,409,2,Female,65-69 years,30767.19572202744,34730.24804774901,27873.78096447272
491,Cardiovascular diseases,409,2,Female,70-74 years,41990.85002696989,45903.43643473028,38458.86358254969
491,Cardiovascular diseases,409,2,Female,75-79 years,52857.59849691474,56739.21704894608,48967.13589604919
491,Cardiovascular diseases,409,2,Female,80-84 years,62485.44181184358,66981.56629548594,57670.850199995395
491,Cardiovascular diseases,409,2,Female,85-89 years,71013.72517715578,75742.91857152637,66093.80723714549
491,Cardiovascular diseases,409,2,Female,90-94 years,77324.29920044311,83960.22937244702,72077.7149659144
491,Cardiovascular diseases,409,2,Female,95+ years,81260.89753736499,88609.07959508085,73713.77059348924
491,Cardiovascular diseases,409,2,Male,<5 years,752.68548039272,954.65655100482,581.26551684151
491,Cardiovascular diseases,409,2,Male,5-9 years,842.49367088052,1126.58106517807,628.51994778707
491,Cardiovascular diseases,409,2,Male,10-14 years,904.96594811158,1234.15850246762,673.3520179926
491,Cardiovascular diseases,409,2,Male,15-19 years,1107.0992577424,1596.61785549728,828.2380376018399
491,Cardiovascular diseases,409,2,Male,20-24 years,1193.8650823378,1578.00374528288,938.66372875235
491,Cardiovascular diseases,409,2,Male,25-29 years,1563.33254460648,1972.04500895015,1264.21608341454
491,Cardiovascular diseases,409,2,Male,30-34 years,2212.32203505448,2779.69299170482,1793.65279410436
491,Cardiovascular diseases,409,2,Male,35-39 years,3270.84373731907,4033.3339895426298,2709.3392584306102
491,Cardiovascular diseases,409,2,Male,40-44 years,5535.81307967866,6729.39522711489,4626.3963445095205
491,Cardiovascular diseases,409,2,Male,45-49 years,9054.96887044103,10494.37579704102,7854.852738868371
491,Cardiovascular diseases,409,2,Male,50-54 years,14223.6178255168,16027.52026765589,12499.94412062464
491,Cardiovascular diseases,409,2,Male,55-59 years,21576.66522552392,24174.95864200426,19596.781468738332
491,Cardiovascular diseases,409,2,Male,60-64 years,31319.51872488089,35097.79651352846,28367.769845111612
491,Cardiovascular diseases,409,2,Male,65-69 years,44342.04986563805,48419.78031346347,40873.77698962193
491,Cardiovascular diseases,409,2,Male,70-74 years,56614.97542053898,60337.80855641691,53087.13508966323
491,Cardiovascular diseases,409,2,Male,75-79 years,66372.10387025251,69880.44141285657,62710.22283866009
491,Cardiovascular diseases,409,2,Male,80-84 years,73930.83575332018,77447.62206961981,70262.32274076187
491,Cardiovascular diseases,409,2,Male,85-89 years,79396.16427585369,83106.27017000364,75231.74468719498
491,Cardiovascular diseases,409,2,Male,90-94 years,82788.37274240579,86855.98555544525,78685.70138547524
491,Cardiovascular diseases,409,2,Male,95+ years,84335.58971891533,89143.38217998673,79227.65419458394
508,Chronic respiratory diseases,409,2,Both,<5 years,7601.12120374592,11036.98159213843,5242.5062885674
508,Chronic respiratory diseases,409,2,Both,5-9 years,14775.5096757674,20539.84590393464,10240.60083235541
508,Chronic respiratory diseases,409,2,Both,10-14 years,14682.12413460564,19983.31043388499,10863.11626651064
508,Chronic respiratory diseases,409,2,Both,15-19 years,13442.33127175953,17673.149169105072,10122.885661486873
