population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Male,15-19 years,Digestive diseases,Rate,2023,3456.85047206443,4181.25080783922,2815.23749248974
All Population,Incidence,United States of America,Female,15-19 years,Digestive diseases,Rate,2023,3724.30324179005,4498.07816918738,3019.6614368607597
All Population,Incidence,United States of America,Male,25-29 years,Digestive diseases,Rate,2023,6559.997892455601,8263.675001311669,5245.97142258388
All Population,Incidence,United States of America,Female,25-29 years,Digestive diseases,Rate,2023,7885.97268528904,9547.53568741205,6459.598072825789
All Population,Incidence,United States of America,Male,30-34 years,Digestive diseases,Rate,2023,7771.08135522067,9677.76631147294,6119.70492412338
All Population,Incidence,United States of America,Female,30-34 years,Digestive diseases,Rate,2023,9313.15050594897,11529.11947721699,7441.27113777302
All Population,Incidence,United States of America,Male,35-39 years,Digestive diseases,Rate,2023,8853.1404338113,11250.26869547229,7113.51404738311
All Population,Incidence,United States of America,Female,35-39 years,Digestive diseases,Rate,2023,10466.82689872968,12992.52188253474,8353.32178699903
All Population,Incidence,United States of America,Male,40-44 years,Digestive diseases,Rate,2023,9951.8046518068,12447.49749760386,7912.69038636786
All Population,Incidence,United States of America,Female,40-44 years,Digestive diseases,Rate,2023,11491.01777386898,14171.49716496414,9153.234733808691
All Population,Incidence,United States of America,Male,45-49 years,Digestive diseases,Rate,2023,11252.16720049165,13704.665994317262,9154.1411149629
All Population,Incidence,United States of America,Female,45-49 years,Digestive diseases,Rate,2023,12604.243983152941,15315.035671860549,10342.36986635825
All Population,Incidence,United States of America,Male,50-54 years,Digestive diseases,Rate,2023,13435.4665108462,15937.32964609705,11046.6265449681
All Population,Incidence,United States of America,Female,50-54 years,Digestive diseases,Rate,2023,14621.71977295749,17493.66645545093,12155.451614543621
All Population,Incidence,United States of America,Male,55-59 years,Digestive diseases,Rate,2023,15707.74833185781,18719.21729813465,13197.483326646961
All Population,Incidence,United States of America,Female,55-59 years,Digestive diseases,Rate,2023,16754.24334344273,19854.38022527433,13827.664741795179
All Population,Incidence,United States of America,Male,60-64 years,Digestive diseases,Rate,2023,17660.749765707802,20780.86089419664,14777.80855296216
All Population,Incidence,United States of America,Female,60-64 years,Digestive diseases,Rate,2023,18439.28165611814,21694.481795962132,15288.81478341558
All Population,Incidence,United States of America,Male,65-69 years,Digestive diseases,Rate,2023,19233.359138952717,22293.96140955345,16363.53919017469
All Population,Incidence,United States of America,Female,65-69 years,Digestive diseases,Rate,2023,19707.24914220469,22698.07110591906,16993.30360961112
All Population,Incidence,United States of America,Male,70-74 years,Digestive diseases,Rate,2023,20566.16973644006,23591.25242317161,17829.95569975227
All Population,Incidence,United States of America,Female,70-74 years,Digestive diseases,Rate,2023,20809.49859107679,23793.093235493303,17954.96050021505
All Population,Incidence,United States of America,Male,75-79 years,Digestive diseases,Rate,2023,20876.99235340508,23746.50054964965,18136.2453014604
All Population,Incidence,United States of America,Female,75-79 years,Digestive diseases,Rate,2023,20818.73356956937,23881.245410430573,17909.01497656503
All Population,Incidence,United States of America,Male,<1 year,Digestive diseases,Rate,2023,304.57716396061,347.9886309513,268.25352074001
All Population,Incidence,United States of America,Female,<1 year,Digestive diseases,Rate,2023,188.30828261884,203.42294845127003,174.74260765665
All Population,Incidence,United States of America,Male,80-84 years,Digestive diseases,Rate,2023,21111.46992273811,23829.87650018228,18423.20578948873
All Population,Incidence,United States of America,Female,80-84 years,Digestive diseases,Rate,2023,20325.037168234052,23121.53370458472,17612.40989398313
All Population,Incidence,United States of America,Male,85-89 years,Digestive diseases,Rate,2023,22071.233700775032,24684.47895538307,19347.59124060144
All Population,Incidence,United States of America,Female,85-89 years,Digestive diseases,Rate,2023,20138.5767307513,22729.707137970483,17699.70853050063
All Population,Incidence,United States of America,Male,90-94 years,Digestive diseases,Rate,2023,22786.3880076329,25771.002648102392,19916.13801467087
All Population,Incidence,United States of America,Female,90-94 years,Digestive diseases,Rate,2023,20215.44768177105,23006.5889989697,17670.31650201572
All Population,Incidence,United States of America,Male,2-4 years,Digestive diseases,Rate,2023,409.89599768261,468.26056809105,364.58318582144
All Population,Incidence,United States of America,Female,2-4 years,Digestive diseases,Rate,2023,370.93147131978,426.42886814764,320.09551331562
All Population,Incidence,United States of America,Male,95+ years,Digestive diseases,Rate,2023,23826.86875478693,28053.79573782697,19998.37371709825
All Population,Incidence,United States of America,Female,95+ years,Digestive diseases,Rate,2023,21108.94563353205,25048.630558481338,17731.23839746586
All Population,Incidence,United States of America,Male,<5 years,Skin and subcutaneous diseases,Rate,2023,23356.86887341704,26433.236511970932,20552.75646210972
All Population,Incidence,United States of America,Female,<5 years,Skin and subcutaneous diseases,Rate,2023,21989.693531241388,25051.95289775935,19451.73980058868
All Population,Incidence,United States of America,Male,0-6 days,Skin and subcutaneous diseases,Rate,2023,26628.40471668652,29075.834748373807,24137.501933150703
All Population,Incidence,United States of America,Female,0-6 days,Skin and subcutaneous diseases,Rate,2023,22862.92603744314,25135.18652783212,20606.56658868199
All Population,Incidence,United States of America,Male,5-9 years,Skin and subcutaneous diseases,Rate,2023,24301.48609772724,29348.226981302676,20577.3227129565
All Population,Incidence,United States of America,Female,5-9 years,Skin and subcutaneous diseases,Rate,2023,25452.273538296024,30355.58547937487,21838.68285307298
All Population,Incidence,United States of America,Male,10-14 years,Skin and subcutaneous diseases,Rate,2023,28563.331512361823,33480.26349695785,25101.18570104304
All Population,Incidence,United States of America,Female,10-14 years,Skin and subcutaneous diseases,Rate,2023,31737.84008361806,36388.480671581194,28135.4908844137
All Population,Incidence,United States of America,Male,15-19 years,Skin and subcutaneous diseases,Rate,2023,27272.50067459725,29886.32398974942,25172.04704844302
All Population,Incidence,United States of America,Female,15-19 years,Skin and subcutaneous diseases,Rate,2023,31778.90014913834,34214.36130803681,29451.11475766734
All Population,Incidence,United States of America,Male,25-29 years,Skin and subcutaneous diseases,Rate,2023,25316.82871957604,27873.81370838957,23242.74049990546
All Population,Incidence,United States of America,Female,25-29 years,Skin and subcutaneous diseases,Rate,2023,35358.78655595919,38817.11756313214,32496.48851092762
All Population,Incidence,United States of America,Male,30-34 years,Skin and subcutaneous diseases,Rate,2023,26961.97883632145,29767.66876057686,24505.2924724233
All Population,Incidence,United States of America,Female,30-34 years,Skin and subcutaneous diseases,Rate,2023,39594.62113995384,43669.10266571399,36154.90841848385
All Population,Incidence,United States of America,Male,35-39 years,Skin and subcutaneous diseases,Rate,2023,29073.38456946212,31885.35287468983,26737.106545232196
All Population,Incidence,United States of America,Female,35-39 years,Skin and subcutaneous diseases,Rate,2023,41072.25870621755,45074.57012873835,37795.53149704604
All Population,Incidence,United States of America,Male,40-44 years,Skin and subcutaneous diseases,Rate,2023,31654.999009179206,34523.662235277094,29356.746756857112
All Population,Incidence,United States of America,Female,40-44 years,Skin and subcutaneous diseases,Rate,2023,41942.35561730407,46400.66629818903,38761.78847489913
All Population,Incidence,United States of America,Male,45-49 years,Skin and subcutaneous diseases,Rate,2023,35422.31460301567,38754.44696422807,32833.310402959745
All Population,Incidence,United States of America,Female,45-49 years,Skin and subcutaneous diseases,Rate,2023,45072.786927444555,49639.64672247816,41651.7819603833
All Population,Incidence,United States of America,Male,50-54 years,Skin and subcutaneous diseases,Rate,2023,42210.17717581823,45698.98584028339,39261.7683744705
All Population,Incidence,United States of America,Female,50-54 years,Skin and subcutaneous diseases,Rate,2023,52424.307340711995,57126.137233991845,48731.88449866312
All Population,Incidence,United States of America,Male,55-59 years,Skin and subcutaneous diseases,Rate,2023,47993.86754305119,52545.28786895363,43910.78773812811
All Population,Incidence,United States of America,Female,55-59 years,Skin and subcutaneous diseases,Rate,2023,58398.41631536851,64903.158563128534,52632.08549999947
All Population,Incidence,United States of America,Male,60-64 years,Skin and subcutaneous diseases,Rate,2023,54598.624948472905,60106.88641326529,50724.65760009384
All Population,Incidence,United States of America,Female,60-64 years,Skin and subcutaneous diseases,Rate,2023,61168.579612304886,68049.61327499864,56314.09324890584
