population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,United States of America,Female,65-69 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,50.37433062634856,55.333841479105004,46.02134366884887
All Population,Deaths,United States of America,Both,65-69 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,62.68018407968065,67.1568075208318,58.33778118302698
All Population,Deaths,United States of America,Male,70-74 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,113.96009906770914,123.28852031544498,104.90048521876204
All Population,Deaths,United States of America,Female,70-74 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,79.93853478058683,88.53723915877859,72.1377558845184
All Population,Deaths,United States of America,Both,70-74 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,95.75776436125858,103.5623704925978,87.99216193199544
All Population,Deaths,United States of America,Male,75-79 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,201.89231346400598,217.70860517655788,187.01455050239252
All Population,Deaths,United States of America,Female,75-79 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,151.91379221457748,168.48633260873484,132.572948252693
All Population,Deaths,United States of America,Both,75-79 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,174.5907076072861,188.78305973189887,159.0972429345645
All Population,Deaths,United States of America,Male,<1 year,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,335.421929319161,353.4262815004949,312.9210338674391
All Population,Deaths,United States of America,Female,<1 year,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,267.67999469672264,288.89297225650256,239.2145098471337
All Population,Deaths,United States of America,Both,<1 year,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,302.28937596454045,317.52998558383143,282.7347195216988
All Population,Deaths,United States of America,Male,80-84 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,393.4792281947343,431.3156799045719,346.89894190495653
All Population,Deaths,United States of America,Female,80-84 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,301.61276517547606,347.4731471730434,245.9813467743167
All Population,Deaths,United States of America,Both,80-84 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,341.07039866870616,375.9584551148892,292.9273311463353
All Population,Deaths,United States of America,Male,85-89 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,734.5705549860604,817.6722323745362,618.3972110890938
All Population,Deaths,United States of America,Female,85-89 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,610.6770396685813,715.0861389899254,472.33385138333523
All Population,Deaths,United States of America,Both,85-89 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,659.6958711620464,743.9404797412725,531.3945823605508
All Population,Deaths,United States of America,Male,90-94 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1490.698558694025,1683.8740525881894,1205.3060953441725
All Population,Deaths,United States of America,Female,90-94 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1177.3097931875384,1393.2540015104062,858.379975303952
All Population,Deaths,United States of America,Both,90-94 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1283.9888517184702,1473.602822486693,970.515348492775
All Population,Deaths,United States of America,Male,2-4 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2.374542766229426,2.58075260072303,2.1483902644177904
All Population,Deaths,United States of America,Female,2-4 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1.8369434490809102,2.0584356513330393,1.552513590363422
All Population,Deaths,United States of America,Both,2-4 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2.1117312654805107,2.2682457796637516,1.937530803471796
All Population,Deaths,United States of America,Male,95+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2376.865933084684,2773.324249055808,1768.4768663094767
All Population,Deaths,United States of America,Female,95+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2308.3525235859934,2778.0624704796364,1674.5990451929906
All Population,Deaths,United States of America,Both,95+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2327.009321552906,2751.7304740004965,1702.5362558925838
All Population,Deaths,United States of America,Male,<5 years,Cardiovascular diseases,Rate,2023,2.4653219545045286,3.010938359482462,1.9998511105883376
All Population,Deaths,United States of America,Female,<5 years,Cardiovascular diseases,Rate,2023,1.9771862469829513,2.4671913393007885,1.5657321171584817
All Population,Deaths,United States of America,Both,<5 years,Cardiovascular diseases,Rate,2023,2.2266399249690965,2.6269355198730566,1.9019950604274423
All Population,Deaths,United States of America,Male,5-9 years,Cardiovascular diseases,Rate,2023,0.46980103482733593,0.5963992426020688,0.37382554225148346
All Population,Deaths,United States of America,Female,5-9 years,Cardiovascular diseases,Rate,2023,0.4202387742112508,0.5325169679318674,0.3354747323932836
All Population,Deaths,United States of America,Both,5-9 years,Cardiovascular diseases,Rate,2023,0.44558896287763894,0.5394452953347878,0.3833610375409416
All Population,Deaths,United States of America,Male,10-14 years,Cardiovascular diseases,Rate,2023,0.8191425425461032,1.0215795465657778,0.6724756686699083
All Population,Deaths,United States of America,Female,10-14 years,Cardiovascular diseases,Rate,2023,0.6210691768660238,0.7546108059137147,0.5100397423553232
All Population,Deaths,United States of America,Both,10-14 years,Cardiovascular diseases,Rate,2023,0.7225522358075945,0.8356753149814061,0.6324638018334382
All Population,Deaths,United States of America,Male,15-19 years,Cardiovascular diseases,Rate,2023,2.1076044360465667,2.481211079154118,1.7926711632627108
All Population,Deaths,United States of America,Female,15-19 years,Cardiovascular diseases,Rate,2023,1.1600627272749815,1.400815164099936,0.9522646986236017
All Population,Deaths,United States of America,Both,15-19 years,Cardiovascular diseases,Rate,2023,1.6452820321116015,1.8586987846021727,1.4352088464952555
All Population,Deaths,United States of America,Male,20-24 years,Cardiovascular diseases,Rate,2023,3.668760246700934,4.329852710941758,3.030080221073363
All Population,Deaths,United States of America,Female,20-24 years,Cardiovascular diseases,Rate,2023,2.1338839076198273,2.6075374676509977,1.744326269658349
All Population,Deaths,United States of America,Both,20-24 years,Cardiovascular diseases,Rate,2023,2.915877672995647,3.3114540608246634,2.5119253457452078
All Population,Deaths,United States of America,Male,25-29 years,Cardiovascular diseases,Rate,2023,7.813683741313056,9.051675188950806,6.685603096079924
All Population,Deaths,United States of America,Female,25-29 years,Cardiovascular diseases,Rate,2023,4.090644923651787,4.87004124019567,3.4088223320747977
All Population,Deaths,United States of America,Both,25-29 years,Cardiovascular diseases,Rate,2023,5.983234599322312,6.701044502189764,5.232174314126792
All Population,Deaths,United States of America,Male,30-34 years,Cardiovascular diseases,Rate,2023,16.32757708919009,18.84364300385483,13.956075681471566
All Population,Deaths,United States of America,Female,30-34 years,Cardiovascular diseases,Rate,2023,8.197688922121548,9.676256652402754,6.86830383342676
All Population,Deaths,United States of America,Both,30-34 years,Cardiovascular diseases,Rate,2023,12.313602410856184,13.812254092823617,10.911111036103815
All Population,Deaths,United States of America,Male,35-39 years,Cardiovascular diseases,Rate,2023,31.200904224926294,35.60623307846378,27.13341765537888
All Population,Deaths,United States of America,Female,35-39 years,Cardiovascular diseases,Rate,2023,14.675377655421928,16.80565085084584,12.677042114104545
All Population,Deaths,United States of America,Both,35-39 years,Cardiovascular diseases,Rate,2023,23.04556327714068,25.56875297190493,20.61998067645929
All Population,Deaths,United States of America,Male,40-44 years,Cardiovascular diseases,Rate,2023,57.59863119859702,63.874108625584626,51.88372509901141
All Population,Deaths,United States of America,Female,40-44 years,Cardiovascular diseases,Rate,2023,27.332866738173223,30.541362608404164,24.082153820773687
All Population,Deaths,United States of America,Both,40-44 years,Cardiovascular diseases,Rate,2023,42.57334701586159,46.36053018309124,39.267092339953116
All Population,Deaths,United States of America,Male,45-49 years,Cardiovascular diseases,Rate,2023,96.99472690829063,105.27007622294164,88.65282840509704
All Population,Deaths,United States of America,Female,45-49 years,Cardiovascular diseases,Rate,2023,42.81112867798685,47.159983237768664,38.68444409731029
All Population,Deaths,United States of America,Both,45-49 years,Cardiovascular diseases,Rate,2023,69.92947937322555,74.71287438712031,65.19118805441425
All Population,Deaths,United States of America,Male,50-54 years,Cardiovascular diseases,Rate,2023,159.6511542135473,169.5303083924204,149.8873869893614
All Population,Deaths,United States of America,Female,50-54 years,Cardiovascular diseases,Rate,2023,68.33864026734857,73.7005728872374,62.43358837130948
All Population,Deaths,United States of America,Both,50-54 years,Cardiovascular diseases,Rate,2023,113.94426073337225,119.54725213505617,107.85647655061653
All Population,Deaths,United States of America,Male,55-59 years,Cardiovascular diseases,Rate,2023,256.3156033849224,269.6290597009938,243.06631739669723
All Population,Deaths,United States of America,Female,55-59 years,Cardiovascular diseases,Rate,2023,111.47252148459629,118.6472816262697,103.66425757881629
All Population,Deaths,United States of America,Both,55-59 years,Cardiovascular diseases,Rate,2023,183.14217080520825,190.84379118453316,175.2430651686201
All Population,Deaths,United States of America,Male,60-64 years,Cardiovascular diseases,Rate,2023,391.1800317920028,407.89583682020293,374.25650883380337
