population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Both,5-9 years,Chronic respiratory diseases,Rate,2023,1196.10160272657,2133.18403036129,571.69888011895
All Population,Incidence,United States of America,Both,10-14 years,Chronic respiratory diseases,Rate,2023,616.69285942038,1166.66548051239,268.07507994512
All Population,Incidence,United States of America,Both,15-19 years,Chronic respiratory diseases,Rate,2023,443.75567128482004,801.3539504415501,189.72630547303
All Population,Incidence,United States of America,Both,20-24 years,Chronic respiratory diseases,Rate,2023,376.62090456748,723.41018765001,159.00460229866
All Population,Incidence,United States of America,Both,25-29 years,Chronic respiratory diseases,Rate,2023,386.06921563522997,648.87624575007,216.77537529606
All Population,Incidence,United States of America,Both,30-34 years,Chronic respiratory diseases,Rate,2023,402.02974454828,639.75694651728,227.15809442859
All Population,Incidence,United States of America,Both,35-39 years,Chronic respiratory diseases,Rate,2023,423.80316715449004,694.3598758271401,241.18802813087999
All Population,Incidence,United States of America,Both,40-44 years,Chronic respiratory diseases,Rate,2023,558.9529905158901,857.41793742579,352.22911673912
All Population,Incidence,United States of America,Both,45-49 years,Chronic respiratory diseases,Rate,2023,737.79147932722,1022.15092675421,538.09358785935
All Population,Incidence,United States of America,Both,50-54 years,Chronic respiratory diseases,Rate,2023,779.38824481853,1071.3208819270299,589.07354479314
All Population,Incidence,United States of America,Both,55-59 years,Chronic respiratory diseases,Rate,2023,767.3484090167,1060.42148088215,571.99886881932
All Population,Incidence,United States of America,Both,60-64 years,Chronic respiratory diseases,Rate,2023,1334.30273632611,1663.7018360221498,1070.78863125814
All Population,Incidence,United States of America,Both,65-69 years,Chronic respiratory diseases,Rate,2023,1943.55530953883,2368.03590440125,1636.7864034964
All Population,Incidence,United States of America,Both,70-74 years,Chronic respiratory diseases,Rate,2023,2160.54110801525,2646.58422684955,1715.6654675599
All Population,Incidence,United States of America,Both,75-79 years,Chronic respiratory diseases,Rate,2023,2076.32193634565,2475.62492157651,1640.99011588303
All Population,Incidence,United States of America,Both,<1 year,Chronic respiratory diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Both,80-84 years,Chronic respiratory diseases,Rate,2023,1749.0960074860202,2255.9300955270996,1313.80612061643
All Population,Incidence,United States of America,Both,85-89 years,Chronic respiratory diseases,Rate,2023,1560.65011414997,2108.81301318636,1203.00850182161
All Population,Incidence,United States of America,Both,90-94 years,Chronic respiratory diseases,Rate,2023,1538.1774039491102,2089.00039976555,1116.21576194549
All Population,Incidence,United States of America,Both,2-4 years,Chronic respiratory diseases,Rate,2023,3120.94853277067,4798.15725878704,1713.6384423296201
All Population,Incidence,United States of America,Both,95+ years,Chronic respiratory diseases,Rate,2023,1613.68326569323,2417.35137852034,1033.71234136271
All Population,Incidence,United States of America,Both,<5 years,Musculoskeletal disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Both,5-9 years,Musculoskeletal disorders,Rate,2023,758.5667488015799,964.84755398423,594.42895650736
All Population,Incidence,United States of America,Both,10-14 years,Musculoskeletal disorders,Rate,2023,2236.60461904672,2836.07139957394,1751.6531039872
All Population,Incidence,United States of America,Both,15-19 years,Musculoskeletal disorders,Rate,2023,3161.18629128778,3989.61791175058,2436.34862209751
All Population,Incidence,United States of America,Both,20-24 years,Musculoskeletal disorders,Rate,2023,3926.6020163992603,4873.30760052336,2946.82715011444
All Population,Incidence,United States of America,Both,25-29 years,Musculoskeletal disorders,Rate,2023,5102.393561395,6442.46529276995,3877.7367248653904
All Population,Incidence,United States of America,Both,30-34 years,Musculoskeletal disorders,Rate,2023,6365.11914189308,7832.93954002668,4991.85245406678
All Population,Incidence,United States of America,Both,35-39 years,Musculoskeletal disorders,Rate,2023,7597.57916007376,9516.428199279731,6067.39488498723
All Population,Incidence,United States of America,Both,40-44 years,Musculoskeletal disorders,Rate,2023,8530.84596172308,10454.02163201528,7033.50500802437
All Population,Incidence,United States of America,Both,45-49 years,Musculoskeletal disorders,Rate,2023,9486.90604451103,11246.49013390924,7780.847885097859
All Population,Incidence,United States of America,Both,50-54 years,Musculoskeletal disorders,Rate,2023,10455.74434951063,12812.75799202414,8315.922402282431
All Population,Incidence,United States of America,Both,55-59 years,Musculoskeletal disorders,Rate,2023,11184.48829127056,13337.635862263469,9217.02269919559
All Population,Incidence,United States of America,Both,60-64 years,Musculoskeletal disorders,Rate,2023,11633.74574182032,13645.68639272943,9537.54454744579
All Population,Incidence,United States of America,Both,65-69 years,Musculoskeletal disorders,Rate,2023,12199.13284914983,14630.45822010986,9888.829310066689
All Population,Incidence,United States of America,Both,70-74 years,Musculoskeletal disorders,Rate,2023,13019.624041199551,15734.516501533519,10526.52394544715
All Population,Incidence,United States of America,Both,75-79 years,Musculoskeletal disorders,Rate,2023,12947.12433519324,15641.29660950996,10501.23228224578
All Population,Incidence,United States of America,Both,<1 year,Musculoskeletal disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Both,80-84 years,Musculoskeletal disorders,Rate,2023,12493.48471577507,15162.907398551259,9828.90705716197
All Population,Incidence,United States of America,Both,85-89 years,Musculoskeletal disorders,Rate,2023,11485.58841449082,13842.37400075928,9209.02468908809
All Population,Incidence,United States of America,Both,90-94 years,Musculoskeletal disorders,Rate,2023,10185.85421828022,12155.09353186549,8223.809305533721
All Population,Incidence,United States of America,Both,2-4 years,Musculoskeletal disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Both,95+ years,Musculoskeletal disorders,Rate,2023,9144.16147320011,11638.06066367134,7021.60425780553
All Population,Incidence,United States of America,Both,<5 years,Other non-communicable diseases,Rate,2023,47542.56085001931,62720.551697119874,33506.76073892548
All Population,Incidence,United States of America,Both,5-9 years,Other non-communicable diseases,Rate,2023,129580.27370643908,161383.54417506146,94006.46307996564
All Population,Incidence,United States of America,Both,10-14 years,Other non-communicable diseases,Rate,2023,62854.70393140434,94648.27389068856,38530.29335998307
All Population,Incidence,United States of America,Both,15-19 years,Other non-communicable diseases,Rate,2023,61948.717816049946,74368.48913220888,49432.07122511927
All Population,Incidence,United States of America,Both,20-24 years,Other non-communicable diseases,Rate,2023,75404.29968611228,82641.01699162729,64995.27218015953
All Population,Incidence,United States of America,Both,25-29 years,Other non-communicable diseases,Rate,2023,74579.92803516149,84346.40185340904,64589.72525063801
All Population,Incidence,United States of America,Both,30-34 years,Other non-communicable diseases,Rate,2023,70677.79573807023,80437.2590667059,61336.62230390455
All Population,Incidence,United States of America,Both,35-39 years,Other non-communicable diseases,Rate,2023,67258.48025912845,78626.17392513475,58336.50196271941
All Population,Incidence,United States of America,Both,40-44 years,Other non-communicable diseases,Rate,2023,62443.34554701605,72085.50011878496,53713.67091247033
All Population,Incidence,United States of America,Both,45-49 years,Other non-communicable diseases,Rate,2023,54144.091188993516,62721.08115004768,45067.0561431314
All Population,Incidence,United States of America,Both,50-54 years,Other non-communicable diseases,Rate,2023,46241.31507208149,54679.74349387661,39421.730426795
All Population,Incidence,United States of America,Both,55-59 years,Other non-communicable diseases,Rate,2023,43543.26169768392,50826.567189799585,36737.07565661548
All Population,Incidence,United States of America,Both,60-64 years,Other non-communicable diseases,Rate,2023,42243.173359189386,48263.66362290678,36135.85705631295
