Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
K94.02	Phlebitis/thrombophlebitis low limb deep	X75	Malignant neoplasm cervix	2.059	55	16742	5143
K94.02	Phlebitis/thrombophlebitis low limb deep	X76	Malignant neoplasm breast female	1.597	663	16134	69367
K94.02	Phlebitis/thrombophlebitis low limb deep	X77	Malignant neoplasm female genital other	2.817	313	16484	17821
K94.02	Phlebitis/thrombophlebitis low limb deep	Y78	Malignant neoplasm male genital other	2.447	35	16762	3054
K95	Varicose veins of leg	L89	Osteoarthrosis of hip	1.592	28501	390013	95427
K95	Varicose veins of leg	L90	Osteoarthrosis of knee	1.896	86636	331878	253238
K95	Varicose veins of leg	L91	Osteoarthrosis other	1.512	103881	314633	376337
L71	Malignant neoplasm musculoskeletal	L95	Osteoporosis	1.559	533	3169	272719
L71	Malignant neoplasm musculoskeletal	N18	Paralysis/weakness	3.709	17	3685	3935
L71	Malignant neoplasm musculoskeletal	N74	Malignant neoplasm nervous system	4.452	34	3668	6130
L71	Malignant neoplasm musculoskeletal	N75	Benign neoplasm nervous system	2.077	41	3661	15926
L71	Malignant neoplasm musculoskeletal	R84	Malignant neoplasm bronchus/lung	2.922	117	3585	30665
L71	Malignant neoplasm musculoskeletal	R85	Malignant neoplasm respiratory, other	3.14	40	3662	9678
L71	Malignant neoplasm musculoskeletal	S77	Malignant neoplasm of skin	2.081	291	3411	108329
L71	Malignant neoplasm musculoskeletal	U75	Malignant neoplasm of kidney	2.865	47	3655	12450
L71	Malignant neoplasm musculoskeletal	X76	Malignant neoplasm breast female	2.089	179	3523	69851
L71	Malignant neoplasm musculoskeletal	Y78	Malignant neoplasm male genital other	3.94	13	3689	3076
L82	Congenital hip dislocation	L82.01	Congenital anomaly musculoskeletal	3.442	66	18480	2828
L82	Congenital hip dislocation	L85	Acquired deformity of spine	2.392	1831	16715	121886
L82	Congenital hip dislocation	L86/84/83	Neck/Back syndrome	1.517	3517	15029	429804
L82	Congenital hip dislocation	L89	Osteoarthrosis of hip	1.519	889	17657	123039
L82	Congenital hip dislocation	L90	Osteoarthrosis of knee	1.588	2471	16075	337403
L82	Congenital hip dislocation	L91	Osteoarthrosis other	1.507	3531	15015	476687
L82	Congenital hip dislocation	N85	Congenital anomaly neurological	2.834	73	18473	3666
L82	Congenital hip dislocation	N94	Peripheral neuritis/neuropathy	1.992	915	17631	84384
L82	Congenital hip dislocation	N99	Neurological disease, other	1.808	166	18380	18092
P75	Somatization disorder	L82	Congenital hip dislocation	1.637	189	18357	17436
L82	Congenital hip dislocation	P85	Mental retardation	3.088	249	18297	12314
L82	Congenital hip dislocation	S86	Dermatitis seborrhoeic	1.532	1348	17198	153070
L82.01	Congenital anomaly musculoskeletal	L85	Acquired deformity of spine	2.439	296	2598	123421
