Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
P70	Dementia	P85	Mental retardation	1.998	363	149340	12200
P70	Dementia	P98	Psychosis not otherwise specified/other	3.103	1839	147864	18283
P71	Organic psychosis other	P72	Schizophrenia	3.151	1724	81864	28722
P71	Organic psychosis other	P73	Affective psychosis	1.702	10011	73577	263729
P75	Somatization disorder	P71	Organic psychosis other	2.002	709	82879	16916
P71	Organic psychosis other	P76	Depressive disorder	2.114	24853	58735	494234
P71	Organic psychosis other	P78	Neuraesthenia/surmenage	2.329	87	83501	2408
P71	Organic psychosis other	P79.01	obsesive compulsive disorder	2.62	427	83161	11349
P71	Organic psychosis other	P79.02	Phobia	1.607	688	82900	29794
P71	Organic psychosis other	P80	Personality disorder	3.749	1880	81708	32892
P71	Organic psychosis other	P81	Hyperkinetic disorder	2.356	134	83454	3974
P71	Organic psychosis other	P82	Post-traumatic stress disorder	1.918	226	83362	5163
P71	Organic psychosis other	P85	Mental retardation	2.941	488	83100	12075
P71	Organic psychosis other	P86	Anorexia nervosa/bulimia	1.934	183	83405	10285
P71	Organic psychosis other	P98	Psychosis not otherwise specified/other	4.067	1571	82017	18551
P72	Schizophrenia	P73	Affective psychosis	1.806	4283	26163	269457
P75	Somatization disorder	P72	Schizophrenia	1.682	305	30141	17320
P72	Schizophrenia	P79.01	obsesive compulsive disorder	3.235	441	30005	11335
P72	Schizophrenia	P80	Personality disorder	6.656	2374	28072	32398
P72	Schizophrenia	P85	Mental retardation	7.697	1041	29405	11522
P72	Schizophrenia	P98	Psychosis not otherwise specified/other	24.036	3778	26668	16344
P75	Somatization disorder	P73	Affective psychosis	2.046	3073	270667	14552
P73	Affective psychosis	P76	Depressive disorder	1.705	71697	202043	447390
P73	Affective psychosis	P78	Neuraesthenia/surmenage	2.538	595	273145	1900
P73	Affective psychosis	P79.01	obsesive compulsive disorder	2.779	2497	271243	9279
P73	Affective psychosis	P79.02	Phobia	1.821	5066	268674	25416
P73	Affective psychosis	P80	Personality disorder	3.386	8219	265521	26553
P73	Affective psychosis	P81	Hyperkinetic disorder	2.201	704	273036	3404
P73	Affective psychosis	P82	Post-traumatic stress disorder	1.851	938	272802	4451
