chapter,icpc2_code,description,grouped_codes,gbd_level2
Musculoskeletal,L89,Osteoarthrosis of hip,,Musculoskeletal disorders
Musculoskeletal,L90,Osteoarthrosis of knee,,Musculoskeletal disorders
Musculoskeletal,L91,Osteoarthrosis other,,Musculoskeletal disorders
Musculoskeletal,,Osteoarthrosis,"L89, L90, L91",Musculoskeletal disorders
Neurological,N73,"Neurological infection, other",N73,Neurological disorders
Neurological,N74,Malignant neoplasm nervous system,N74,Neoplasms
Neurological,N86,Multiple sclerosis,N86,Neurological disorders
Neurological,N87,Parkinsonism,N87,Neurological disorders
Neurological,N88,Epilepsy,N88,Neurological disorders
Neurological,N92,Trigeminal neuralgia,N92,Neurological disorders
Neurological,N75,Benign neoplasm nervous system,,Neoplasms
Neurological,N76,Neoplasm nervous system unspec.,,Neoplasms
Neurological,,Benign/unspecified nervous system neoplasm,"N75, N76",Neoplasms
Neurological,N85,Congenital anomaly neurological,N85,Neurological disorders
Neurological,N89,Migraine,,Neurological disorders
Neurological,N90,Cluster headache,,Neurological disorders
Neurological,,Migraine/headache,"N89, N90",Neurological disorders
Neurological,N93,Carpal tunnel syndrome,N93,Neurological disorders
Neurological,N94,Peripheral neuritis/neuropathy,N94,Neurological disorders
Neurological,N99,"Neurological disease, other",N99,Neurological disorders
Psychological,P15,Chronic alcohol abuse,P15,Substance use disorders
Psychological,P17,Tobacco abuse,P17,Substance use disorders
Psychological,P19,Drug abuse,P19,Substance use disorders
Psychological,P70,Dementia,P70,Mental disorders
Psychological,P78,Neuraesthenia/surmenage,P78,Mental disorders
Psychological,P79,Phobia/compulsive disorder,P79,Mental disorders
Psychological,P81,Hyperkinetic disorder,P81,Mental disorders
Psychological,P85,Mental retardation,P85,Mental disorders
Psychological,P86,Anorexia nervosa/bulimia,P86,Mental disorders
Psychological,P71,Organic psychosis other,,Mental disorders
Psychological,P73,Affective psychosis,,Mental disorders
Psychological,P98,Psychosis NOS/other,,Mental disorders
Psychological,,Psychosis,"P71, P73, P98",Mental disorders
Psychological,P72,Schizophrenia,P72,Mental disorders
Psychological,P80,Personality disorder,P80,Mental disorders
Psychological,P74,Anxiety disorder/anxiety state,,Mental disorders
Psychological,P75,Somatization disorder,,Mental disorders
Psychological,P82,Post-traumatic stress disorder,,Mental disorders
Psychological,,Anxiety/somatization/post-traumatic stress,"P74, P75, P82",Mental disorders
Psychological,P76,Depressive disorder,P76,Mental disorders
Respiratory,R90,Hypertrophy tonsils/adenoids,R90,Chronic respiratory diseases
Respiratory,R96,Asthma,R96,Chronic respiratory diseases
Respiratory,R95,Chronic obstructive pulmonary disease,R95,Chronic respiratory diseases
Respiratory,R84,Malignant neoplasm bronchus/lung,R84,Neoplasms
Respiratory,R85,"Malignant neoplasm respiratory, other",R85,Neoplasms
Respiratory,R99,"Respiratory disease, other",R99,Chronic respiratory diseases
Skin,S77,Malignant neoplasm of skin,S77,Neoplasms
Skin,S91,Psoriasis,S91,Skin and subcutaneous diseases
Skin,S96,Acne,S96,Skin and subcutaneous diseases
Skin,S86,Dermatitis seborrhoeic,,Skin and subcutaneous diseases
Skin,S87,Dermatitis/atopic eczema,,Skin and subcutaneous diseases
Skin,,Dermatitis/atopic eczema,"S86, S87",Skin and subcutaneous diseases
Skin,S99,"Skin disease, other",S99,Skin and subcutaneous diseases
Endocrine/Metabolic and Nutritional,T71,Malignant neoplasm thyroid,T71,Neoplasms
Endocrine/Metabolic and Nutritional,T73,Neoplasm endocrine oth/unspecified,T73,Neoplasms
Endocrine/Metabolic and Nutritional,T80,Congenital anom endocrine/metab.,T80,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T81,Goitre,T81,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T85,Hyperthyroidism/thyrotoxicosis,T85,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T86,Hypothyroidism/myxoedema,T86,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T92,Gout,T92,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T93,Lipid disorder,T93,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T80,Congenital anom endocrine/metab.,T80,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T99,Endocrine/metabolic/nutritional disease other,T99,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T82,Obesity,,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T83,Overweight,,Other non-communicable diseases
Endocrine/Metabolic and Nutritional,,Overweight/obesity,"T82, T83",Other non-communicable diseases
Endocrine/Metabolic and Nutritional,T89,Diabetes insulin dependent,,Diabetes and kidney diseases
Endocrine/Metabolic and Nutritional,T90,Diabetes non-insulin dependent,,Diabetes and kidney diseases
Endocrine/Metabolic and Nutritional,,Diabetes,"T89, T90",Other non-communicable diseases
Urological,U88,Glomerulonephritis/nephrosis,U88,Diabetes and kidney diseases
Urological,U99,"Urinary disease, other",U99,Diabetes and kidney diseases
Urological,U99.01,Chronic renal failure,U99.01,Diabetes and kidney diseases
Urological,U75,Malignant neoplasm of kidney,,Neoplasms
Urological,U76,Malignant neoplasm of bladder,,Neoplasms
Urological,U77,Malignant neoplasm urinary other,,Neoplasms
Urological,,Urinary cancer,"U75, U76, U77",Neoplasms
"Pregnancy, Childbearing, Family Planning",W15,Infertility/subfertility,W15,"Communicable, maternal, neonatal, and nutritional diseases"
"Pregnancy, Childbearing, Family Planning",W72,Malignant neoplasm related to pregnancy,W72,Neoplasms
Female Genital,X74,Pelvic inflammatory disease,X74,Other non-communicable diseases
Female Genital,X75,Malignant neoplasm cervix,,Neoplasms
Female Genital,X76,Malignant neoplasm breast female,X76,Neoplasms
Female Genital,X77,Malignant neoplasm genital other,,Neoplasms
Female Genital,,Genital female cancer,"X75, X77",Neoplasms
Female Genital,X99,"Genital disease, other",X99,Other non-communicable diseases
Male Genital,Y85,Benign prostatic hypertrophy,Y85,Other non-communicable diseases
Male Genital,Y77,Malignant neoplasm prostate,,Neoplasms
Male Genital,Y78,Malign neoplasm male genital other,,Neoplasms
Male Genital,,Male genital cancer,"Y77, Y78",Neoplasms
(from edges file),N18,Paralysis/weakness,,Neurological disorders
(from edges file),D99.01,Coeliac disease,,Digestive diseases
(from edges file),K94.01,Phlebitis/thrombophlebitis low limb superficial,,Cardiovascular diseases
(from edges file),K94.02,Phlebitis/thrombophlebitis low limb deep,,Cardiovascular diseases
(from edges file),L82.01,Congenital anomaly musculoskeletal,,Musculoskeletal disorders
(from edges file),L86/84/83,Neck/Back syndrome,,Musculoskeletal disorders
(from edges file),L88.01,Ankylosing spondylitis,,Musculoskeletal disorders
(from edges file),P79.01,obsesive compulsive disorder,,Mental disorders
(from edges file),P79.02,Phobia,,Mental disorders
(from edges file),T83/82,Overweight/Obesity,,Other non-communicable diseases
(from edges file),YX15,Infertility,,Other non-communicable diseases
(from edges file),YX99,"Genital disease, other",,Other non-communicable diseases
